Year,2022,2021,2020,2019,2018,2017,2016,2015
Net Income,-14.19,23.39,-12.97,29.25,63.47,37.98,33.23,22.51
Depreciation & Amortization,1.54,1.75,1.61,1.62,1.85,1.64,1.51,1.57
Share-Based Compensation,0.9,0.63,0.33,0.5,0.3,0,0,0
Other Operating Activities,14.09,4.98,19.67,29.43,-5.04,4.8,-6.04,0.41
Operating Cash Flow,2.34,30.75,8.65,60.79,60.58,44.41,28.7,24.49
Operating Cash Flow Growth,-92.40%,255.61%,-85.78%,0.36%,36.39%,54.73%,17.19%,-
Capital Expenditures,-0.42,-1.17,-0.92,-1.33,-3.85,-2.4,-2,-1.5
Acquisitions,0,-63.55,0,0,0,0,0,0
Change in Investments,349.24,417.19,224.71,8.97,-204.81,-772.33,-428.1,-459.89
Other Investing Activities,24.88,-,-,-,-,-,1.36,0.51
Investing Cash Flow,373.7,352.47,223.79,7.64,-208.65,-774.73,-428.75,-460.87
Dividends Paid,0,0,-0.5,-2.04,-2.12,-9.64,-8.57,-7
Share Issuance / Repurchase,-0.22,1.3,-0.08,-30.35,0,85.49,0,-6.29
Debt Issued / Paid,-100,-168,89,-64,-45,45.22,31.03,178.35
Other Financing Activities,-307.7,-803.34,599.83,53.25,207.58,627.26,386.09,276.75
Financing Cash Flow,-407.91,-970.04,688.24,-43.14,160.46,748.34,408.55,441.81
Net Cash Flow,-31.88,-586.82,920.68,25.29,12.38,18.02,8.51,5.43
Free Cash Flow,1.92,29.58,7.72,59.46,56.73,42.01,26.7,23
Free Cash Flow Growth,-93.52%,282.90%,-87.01%,4.82%,35.03%,57.36%,16.11%,-
Free Cash Flow Margin,2.13%,28.10%,13.98%,44.86%,40.84%,37.78%,29.98%,35.01%
Free Cash Flow Per Share,0.04,0.59,0.15,1.16,1.07,0.91,0.59,0.50
