Year,2022,2021,2020,2019,2018,2017,2016,2015
Net Income,87.76,92,36.68,56.22,40.41,10.42,66.73,-14.97
Depreciation & Amortization,4.29,5.99,6.48,6.39,5.58,5.19,5.06,5.8
Share-Based Compensation,5.33,4.02,2.58,1.67,1.51,1.5,0.94,1.05
Other Operating Activities,122.76,-28.37,62.49,-35.75,31.65,-1.53,-68.49,-35.34
Operating Cash Flow,220.33,74.43,109.02,29.31,79.94,26.85,4.24,-43.47
Operating Cash Flow Growth,196.04%,-31.73%,271.91%,-63.33%,197.68%,533.92%,-,-
Capital Expenditures,-3.61,-1.94,-3.88,-4.26,-1.14,-2.54,-4.79,-2.67
Acquisitions,0,0,0,4.31,20.37,0,-11.27,0
Change in Investments,-819.53,-174.6,-883.98,-251.98,-393.05,-65.87,-288.28,-186.27
Other Investing Activities,3.28,-59.51,1.5,1.37,4.42,6.77,2.57,-
Investing Cash Flow,-819.86,-236.05,-886.36,-250.56,-369.4,-61.64,-301.78,-188.93
Dividends Paid,-13.4,-11.27,-5.71,0,0,0,0,0
Share Issuance / Repurchase,-15.77,-26.73,1.96,3.73,2.54,76.83,49.59,0
Debt Issued / Paid,120.68,-128.18,180.02,69.52,66.49,41.29,291.23,39.93
Other Financing Activities,529.44,402.31,603.75,106.88,283.94,-71.52,-41.62,80.71
Financing Cash Flow,620.95,236.13,780.02,180.13,352.98,46.6,299.2,120.64
Net Cash Flow,21.42,74.51,2.68,-41.12,63.51,11.82,1.65,-111.77
Free Cash Flow,216.73,72.49,105.14,25.05,78.8,24.32,-0.56,-46.14
Free Cash Flow Growth,198.99%,-31.06%,319.70%,-68.21%,224.07%,-,-,-
Free Cash Flow Margin,72.54%,23.41%,47.71%,9.98%,37.63%,15.26%,-0.52%,-50.98%
Free Cash Flow Per Share,5.78,1.92,2.73,0.66,2.17,0.83,-0.02,-
