Year,2022,2021,2020,2019,2018,2017,2016,2015
Net Income,59.43,60.56,39.47,30.13,25.55,12.37,5.01,4.27
Depreciation & Amortization,4.34,5.06,4.6,1.61,1.36,0.98,0.79,0.7
Share-Based Compensation,7.84,4.82,3.31,3.07,2.15,0.41,2.33,0.45
Other Operating Activities,14.29,-33.16,39.89,4.14,-2,17.71,6.43,0.03
Operating Cash Flow,85.89,37.28,87.27,38.96,27.06,31.47,14.56,5.44
Operating Cash Flow Growth,130.41%,-57.29%,124.02%,43.96%,-14.02%,116.19%,167.46%,-
Capital Expenditures,-19.25,-4,-3.91,-6.84,-1.96,-2.21,-1.18,-1.73
Change in Investments,"-1,210.11","-1,299",-485.12,-956.17,-261.82,-317.66,-232.49,-185.34
Other Investing Activities,-,-,-,-51.78,-190.79,-46.76,-,-
Investing Cash Flow,"-1,229.35","-1,303",-489.04,"-1,014.79",-454.57,-366.62,-233.67,-187.07
Share Issuance / Repurchase,-1.37,159.3,-0.88,-0.09,0.23,114.65,28.37,12.61
Debt Issued / Paid,200.55,-4.5,-150.01,1.97,142.8,-11.78,-17.73,32.22
Other Financing Activities,"-1,157.66","2,605.97","1,027.74","1,130.22",256.2,410.58,225.75,156.79
Financing Cash Flow,-958.47,"2,760.77",876.85,"1,132.1",399.23,513.45,236.39,201.62
Net Cash Flow,"-2,101.93","1,495.05",475.09,156.27,-28.28,178.3,17.28,19.99
Free Cash Flow,66.65,33.28,83.36,32.12,25.1,29.26,13.38,3.71
Free Cash Flow Growth,100.25%,-60.07%,159.52%,27.99%,-14.24%,118.73%,260.50%,-
Free Cash Flow Margin,27.13%,18.82%,62.94%,30.88%,31.27%,51.95%,37.76%,12.41%
Free Cash Flow Per Share,6.10,3.13,10.05,3.86,3.06,3.57,1.73,-
