Year,2022,2021,2020
Net Income,2.72,4.04,4.86
Depreciation & Amortization,0.3,0.3,0.35
Share-Based Compensation,0.56,0,0
Other Operating Activities,4.19,2.11,-0.13
Operating Cash Flow,7.77,6.45,5.08
Operating Cash Flow Growth,20.48%,27.02%,-
Capital Expenditures,-0.22,-0.1,-0.11
Acquisitions,0,0,0
Change in Investments,-390.04,-63.11,-56.17
Other Investing Activities,0.92,-5,0.6
Investing Cash Flow,-389.34,-68.22,-55.68
Share Issuance / Repurchase,79.25,0,0
Debt Issued / Paid,165,-9,-4
Other Financing Activities,146.4,80.33,67.59
Financing Cash Flow,390.64,71.33,63.59
Net Cash Flow,9.08,9.56,12.99
Free Cash Flow,7.55,6.35,4.97
Free Cash Flow Growth,19.05%,27.74%,-
Free Cash Flow Margin,34.19%,32.45%,29.50%
Free Cash Flow Per Share,0.89,0.71,-
