Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Net Income,159.11,152.66,88.42,63.32,33.79,24.9,26.17,22.27,12.97,12.27
Depreciation & Amortization,2.72,2.31,1.57,0.68,0.63,0.52,0.64,0.64,0.57,0.45
Share-Based Compensation,6.68,4.84,3.58,2.74,1.6,0.65,0.49,0.07,0.06,0.06
Other Operating Activities,389.3,247.23,186.41,111.62,67.97,51.33,46.45,55.72,66.47,49.03
Operating Cash Flow,557.82,407.04,279.97,178.36,103.98,77.4,73.74,78.7,80.07,61.8
Operating Cash Flow Growth,37.04%,45.39%,56.97%,71.53%,34.34%,4.96%,-6.30%,-1.71%,29.57%,-
Capital Expenditures,-6.9,-5.92,-27.8,-19.62,-1.27,-0.18,-0.57,-0.23,-1.06,-0.22
Change in Investments,-701.67,-346.04,-351.64,-211.17,-105.27,-42.25,-87.58,-79.82,-81.51,-69.07
Other Investing Activities,-,-,-,-,-,-,-,-,-,-4.66
Investing Cash Flow,-708.57,-351.96,-379.43,-230.79,-106.54,-42.43,-88.14,-80.05,-82.57,-73.94
Dividends Paid,-11.93,-10.02,-8.07,-6.93,-5.91,-5.04,-2.1,0,0,0
Share Issuance / Repurchase,48.59,0.98,60.32,68.63,1.81,1.08,72.84,0.09,0.1,-0.11
Debt Issued / Paid,152.62,0,25.7,16.67,0,-0.01,-30.13,1.84,10.14,12.75
Other Financing Activities,-3.29,-2.1,-1.8,-0.62,-,-,-,-,-,-
Financing Cash Flow,185.99,-11.14,76.14,77.76,-4.1,-3.97,40.61,1.93,10.24,12.64
Net Cash Flow,35.23,43.95,-23.32,25.32,-6.66,31,26.21,0.59,7.74,0.5
Free Cash Flow,550.91,401.12,252.18,158.74,102.71,77.22,73.18,78.47,79.01,61.58
Free Cash Flow Growth,37.34%,59.06%,58.87%,54.55%,33.01%,5.53%,-6.75%,-0.68%,28.30%,-
Free Cash Flow Margin,67.25%,62.70%,54.83%,50.25%,46.24%,41.34%,51.67%,97.36%,124.08%,127.02%
Free Cash Flow Per Share,24.15,17.68,11.30,7.37,4.87,3.68,2.02,5.69,5.73,4.17
