Year,2022,2021,2020,2019,2018,2017
Net Income,13.62,7.41,5.67,5.88,5.48,0.67
Depreciation & Amortization,2.25,2.66,2.22,1.17,1.57,0.29
Share-Based Compensation,0.09,1.07,0.01,0.02,0.04,0.01
Other Operating Activities,4.81,7.37,-5.55,-0.03,1.83,0.74
Operating Cash Flow,20.77,18.51,2.36,7.04,8.91,1.71
Operating Cash Flow Growth,12.21%,684.74%,-66.47%,-21.03%,420.89%,-
Capital Expenditures,-0.55,-2.22,-3.19,-1.23,-0.48,-0.14
Acquisitions,0,0,0,6.74,11.83,0
Change in Investments,-147.9,-81.29,-60.22,5.45,-45.24,-10.48
Other Investing Activities,0.84,-1.27,-6.61,1.3,0.93,-1.78
Investing Cash Flow,-147.61,-84.78,-70.02,12.26,-32.95,-12.4
Dividends Paid,-2.07,-1.78,-1.78,-1.2,-0.9,0
Share Issuance / Repurchase,0.19,0.12,-0.26,0.05,0.03,0.17
Debt Issued / Paid,35.22,-50.41,-5.21,-1.41,10.79,-33.54
Other Financing Activities,-103.75,174.55,262.41,48.67,11.23,39.5
Financing Cash Flow,-70.41,122.49,255.16,46.12,21.15,6.13
Net Cash Flow,-197.24,56.22,187.5,65.42,-2.89,-4.55
Free Cash Flow,20.23,16.29,-0.83,5.81,8.43,1.57
Free Cash Flow Growth,24.13%,-,-,-31.16%,436.65%,-
Free Cash Flow Margin,33.79%,31.08%,-1.82%,17.29%,27.96%,13.18%
Free Cash Flow Per Share,1.13,0.91,-0.05,0.58,0.84,-
