Year,2021,2020,2019
Net Income,79.62,24.14,-1.66
Depreciation & Amortization,67.02,10.67,6.3
Share-Based Compensation,6.75,1.65,0.69
Other Operating Activities,-84.91,-12.78,-4.56
Operating Cash Flow,68.49,23.69,0.77
Operating Cash Flow Growth,189.05%,2978.97%,-
Capital Expenditures,-212.07,-65.24,-1.88
Acquisitions,-0.24,-1.43,0
Change in Investments,-1.89,-0.19,0
Investing Cash Flow,-214.19,-66.86,-1.88
Share Issuance / Repurchase,33.91,64.54,0
Debt Issued / Paid,-9.18,11.95,-0.67
Other Financing Activities,86.04,1.8,0.33
Financing Cash Flow,110.77,78.29,-0.34
Net Cash Flow,-34.97,35.16,-1.68
Free Cash Flow,-143.58,-41.55,-1.11
Free Cash Flow Margin,-67.97%,-47.03%,-3.77%
Free Cash Flow Per Share,-1.85,-0.60,-0.02
