Year,2022,2021,2020,2019
Net Income,25.12,31.58,11.2,9.66
Depreciation & Amortization,4.45,1.04,1.01,0.46
Share-Based Compensation,0.78,2.1,1.76,1.77
Other Operating Activities,30.81,-43.95,5.62,-19.77
Operating Cash Flow,61.15,-9.23,19.59,-7.89
Capital Expenditures,-7.21,-2.33,-0.59,-0.54
Acquisitions,0.43,0.78,0.55,0
Change in Investments,-29.05,25.81,-130.17,-28.75
Investing Cash Flow,-35.83,24.26,-130.22,-29.29
Share Issuance / Repurchase,-0.88,35.89,-0.23,-1.24
Debt Issued / Paid,-0.74,-99.96,101.01,0
Other Financing Activities,-8.89,87.42,22.46,47.2
Financing Cash Flow,-10.51,23.35,123.24,45.95
Net Cash Flow,14.81,38.37,12.6,8.78
Free Cash Flow,53.94,-11.57,18.99,-8.43
Free Cash Flow Margin,72.12%,-16.11%,51.49%,-29.55%
Free Cash Flow Per Share,4.24,-1.33,2.37,-1.20
