Year,2022,2021,2020,2019,2018,2017,2016
Net Income,52.17,45.85,6.26,10.62,18.22,3.78,6.61
Depreciation & Amortization,4.12,3.54,1.34,0.22,0.21,0.16,0.09
Share-Based Compensation,11.62,5.58,2.17,24.1,0,0,0
Other Operating Activities,101.67,32.84,47.73,9.57,4.38,16.31,9.12
Operating Cash Flow,169.58,87.81,57.49,44.51,22.81,20.25,15.83
Operating Cash Flow Growth,93.12%,52.74%,29.17%,95.16%,12.64%,27.95%,-
Capital Expenditures,-5.94,-4.85,-4.07,-2.93,-0.33,-0.07,-0.89
Change in Investments,-149.91,-54.82,-171.72,-81.47,-25.28,-18.81,-10.64
Other Investing Activities,-0.97,1.49,-9.59,1.02,0.25,-0.25,-
Investing Cash Flow,-156.81,-58.19,-185.39,-83.38,-25.37,-19.13,-11.53
Dividends Paid,0,0,0,-5.12,0,0,0
Share Issuance / Repurchase,-31.38,-13.04,128.33,87.41,0,0,0
Debt Issued / Paid,36.4,0,0,-20,1.55,0,0
Financing Cash Flow,5.02,-13.04,128.33,62.29,1.55,0,0
Net Cash Flow,17.79,16.59,0.44,23.43,-1.01,1.12,4.29
Free Cash Flow,163.65,82.96,53.42,41.59,22.48,20.18,14.93
Free Cash Flow Growth,97.26%,55.30%,28.46%,85.02%,11.38%,35.16%,-
Free Cash Flow Margin,50.03%,33.48%,31.71%,36.70%,30.80%,33.94%,34.97%
Free Cash Flow Per Share,6.48,3.26,2.15,1.93,1.32,1.19,0.88
