Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Net Income,57.69,52.48,-74.97,25.58,35.83,20.65,9.37,10.12,8.28,6.9
Depreciation & Amortization,9.55,9.08,8.35,7.51,5.62,3.57,2.18,1.95,1.86,1.41
Share-Based Compensation,3.33,2.91,3.47,2.87,2.51,1.1,0.57,0.53,2.01,0.54
Other Operating Activities,3.51,38.23,106.77,12.56,-7.29,2.31,3.43,0.84,0.82,6.26
Operating Cash Flow,74.07,102.7,43.62,48.52,36.67,27.63,15.55,13.62,13.68,16.08
Operating Cash Flow Growth,-27.87%,135.43%,-10.10%,32.33%,32.71%,77.69%,14.16%,-0.40%,-14.97%,-
Capital Expenditures,-3.32,-5.08,-9.54,-6.93,-7.58,-6.86,-2.59,-5.72,-2.87,-0.8
Acquisitions,-41.27,173.86,25.93,85.36,20.09,-3.49,-2.97,-9.05,-13.76,0
Change in Investments,-200.2,-461.04,77.68,17.31,-184.57,-197.73,-120.63,-252.17,-29.98,-40.62
Other Investing Activities,30.6,-23.09,1.94,0.35,0.56,-14.84,-14.5,-,0.03,-3.82
Investing Cash Flow,-214.18,-315.34,96,96.1,-171.49,-222.92,-140.69,-266.94,-46.58,-45.24
Dividends Paid,-5.56,-1.15,0,0,0,0,0,0,0,0
Share Issuance / Repurchase,-30.38,-14.25,-18.73,-10.09,0.13,1.22,23.76,38.95,-32.76,-0.57
Debt Issued / Paid,129.34,-18.72,-250.36,-81.28,44.39,88.49,57.56,91.54,26.7,-5.22
Other Financing Activities,-108.8,226.02,320.88,-156.78,230.92,122.69,22.09,147.96,50.06,-44.8
Financing Cash Flow,-15.42,191.9,51.78,-248.15,275.45,212.4,103.41,278.44,43.99,-50.59
Net Cash Flow,-155.53,-20.74,191.41,-103.53,140.62,17.1,-21.73,25.12,11.09,-79.75
Free Cash Flow,70.76,97.62,34.08,41.59,29.09,20.76,12.96,7.9,10.8,15.28
Free Cash Flow Growth,-27.52%,186.43%,-18.06%,42.99%,40.09%,60.20%,64.08%,-26.87%,-29.31%,-
Free Cash Flow Margin,35.62%,53.08%,25.35%,31.39%,20.69%,21.08%,21.27%,14.90%,22.12%,32.83%
Free Cash Flow Per Share,4.44,5.79,2.29,2.69,1.84,1.70,1.58,0.96,-,-
