Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Net Income,-0.4,144.12,-175.73,1,47.06,107.26,151.08,116.2,196.57,297.52,Upgrade
Depreciation & Amortization,38.06,37.25,21.38,18.67,21.26,28.8,32.79,36.22,39.59,35.83,Upgrade
Share-Based Compensation,4.83,4.39,3.84,3.53,5.32,10.62,12.46,9.17,10.06,9.24,Upgrade
Other Operating Activities,-72.33,-111.79,242.86,124.97,103.63,26.71,-17.34,-50.46,-150.21,-304,Upgrade
Operating Cash Flow,-29.84,73.97,92.34,148.17,177.27,173.39,178.98,111.12,96,38.6,Upgrade
Operating Cash Flow Growth,-,-19.90%,-37.68%,-16.42%,2.24%,-3.13%,61.07%,15.75%,148.70%,-57.70%,Upgrade
Capital Expenditures,-4.35,-3.84,-7.48,-9.59,-9.64,-10.49,-10.92,-9.52,-2.88,-5.85,Upgrade
Acquisitions,4.98,-205.86,-0.03,-26.93,6.39,-9.64,-43.81,-33.43,-11.78,-259.25,Upgrade
Change in Investments,-53.66,94.34,13.79,93.86,223.47,224.46,-241.65,270.9,208.1,279.15,Upgrade
Other Investing Activities,-8.96,29.84,-14.77,-6.82,-5.33,-4.06,7.58,-0.17,73.54,-81.86,Upgrade
Investing Cash Flow,-62,-85.53,-8.48,50.52,214.9,200.28,-288.8,227.79,266.98,-67.8,Upgrade
Dividends Paid,-10.77,-10.76,-38.66,-93.2,-316.48,-315.23,-118.81,-217.63,-71.25,-46.38,Upgrade
Share Issuance / Repurchase,-3.25,0,0,0,0,0,-2.11,-172.77,-222.36,-29.09,Upgrade
Debt Issued / Paid,0,-36.11,-1.5,-1.45,-124.4,-36.54,100,100,0,122.82,Upgrade
Other Financing Activities,-7.79,-13.75,-3.28,-9.14,-5.31,-4.75,6.98,-4.45,-1.71,-7.32,Upgrade
Financing Cash Flow,-21.81,-60.62,-43.45,-103.79,-446.19,-356.52,-13.93,-294.85,-295.33,40.03,Upgrade
Net Cash Flow,-113.64,-72.18,40.41,94.9,-54.02,17.15,-123.75,44.06,67.66,10.83,Upgrade
Free Cash Flow,-34.19,70.13,84.87,138.58,167.63,162.9,168.06,101.6,93.12,32.76,Upgrade
Free Cash Flow Growth,-,-17.36%,-38.76%,-17.33%,2.90%,-3.07%,65.41%,9.11%,184.29%,-64.10%,Upgrade
Free Cash Flow Margin,-3.09%,6.24%,9.70%,13.86%,18.92%,18.81%,19.31%,13.16%,10.93%,4.43%,Upgrade
Free Cash Flow Per Share,-0.63,1.30,1.58,2.58,3.13,3.05,3.16,1.85,1.57,0.53,Upgrade
