Year,2022,2021,2020,2019,2018
Net Income,7.13,7.57,3.09,0.36,0.45
Depreciation & Amortization,0.34,0.67,0.7,0.89,0.91
Share-Based Compensation,1.01,0.68,0.38,0.4,0.14
Other Operating Activities,-0.91,2.93,-2.79,-0,0.95
Operating Cash Flow,7.57,11.85,1.37,1.64,2.44
Operating Cash Flow Growth,-36.13%,764.41%,-16.20%,-33.06%,-
Capital Expenditures,-1.39,-0.83,-0.4,-0.38,-1.29
Acquisitions,0,0,-22.75,0,0
Change in Investments,-92.33,-9.09,-87.23,-1,-18.4
Other Investing Activities,-,0.3,-,-,-7
Investing Cash Flow,-93.72,-9.62,-110.38,-1.38,-26.69
Share Issuance / Repurchase,-5.71,37.11,0,-0.6,-0.25
Debt Issued / Paid,-37.98,-75.81,86.71,-7.57,7.57
Other Financing Activities,44.39,-30,152.44,19,21.77
Financing Cash Flow,0.7,-68.71,239.15,10.83,29.1
Net Cash Flow,-85.45,-66.48,130.14,11.09,4.85
Free Cash Flow,6.18,11.02,0.97,1.26,1.16
Free Cash Flow Growth,-43.97%,1039.71%,-23.19%,8.91%,-
Free Cash Flow Margin,19.63%,35.69%,3.82%,8.79%,8.17%
Free Cash Flow Per Share,0.93,1.59,0.14,0.18,-
