Year,2022,2021,2020,2019,2018
Net Income,32.08,-46.36,10.17,4.21,8.47
Depreciation & Amortization,44.76,22.14,11.8,8.95,7.75
Share-Based Compensation,12.13,0,0,0,0
Other Operating Activities,-33.64,66.5,62.61,36.94,29.92
Operating Cash Flow,55.33,42.28,84.57,50.09,46.15
Operating Cash Flow Growth,30.86%,-50.01%,68.84%,8.55%,-
Capital Expenditures,-44.38,-43.37,-38.26,-9.39,-7.88
Acquisitions,-15.4,-14.61,-8.88,-11.25,0
Change in Investments,-31.02,-11.06,0,0,0
Other Investing Activities,-0.72,0.05,-0.26,-0.42,-0.51
Investing Cash Flow,-91.52,-68.99,-47.39,-21.06,-8.39
Share Issuance / Repurchase,0,0,0,89.09,0
Debt Issued / Paid,-28.13,66.5,43.9,-48.85,10
Other Financing Activities,0.05,265.57,-3.95,-0.15,2.24
Financing Cash Flow,-28.08,332.07,39.95,40.09,12.24
Net Cash Flow,-64.78,304.89,78.02,69.35,49.47
Free Cash Flow,10.95,-1.09,46.31,40.7,38.26
Free Cash Flow Growth,-,-,13.80%,6.36%,-
Free Cash Flow Margin,1.39%,-0.18%,9.27%,10.24%,12.68%
Free Cash Flow Per Share,0.13,-0.01,463.14,537.86,-
