Year,2022,2021,2020,2019
Net Income,1.76,2.64,0.31,1.21
Depreciation & Amortization,0.65,0.47,0.41,0.35
Share-Based Compensation,1.07,0.27,0,0
Other Operating Activities,0.94,0.58,-1.36,-2.08
Operating Cash Flow,4.42,3.95,-0.65,-0.52
Operating Cash Flow Growth,11.90%,-,-,-
Capital Expenditures,-0.26,-0.15,-0.45,-0.16
Change in Investments,-69.37,-33.03,-8.41,-0.59
Other Investing Activities,-,-,-,-10.29
Investing Cash Flow,-69.62,-33.18,-8.85,-11.03
Dividends Paid,-0.5,0,0,0
Share Issuance / Repurchase,-1.17,45.06,0,0
Debt Issued / Paid,11,-9.52,6.69,-0.17
Other Financing Activities,39.52,-6.31,20.5,23.26
Financing Cash Flow,48.86,29.24,27.19,23.09
Net Cash Flow,-16.34,0.01,17.68,11.54
Free Cash Flow,4.16,3.8,-1.1,-0.68
Free Cash Flow Growth,9.53%,-,-,-
Free Cash Flow Margin,26.18%,24.88%,-9.15%,-6.34%
Free Cash Flow Per Share,0.85,0.87,-0.23,-
