Year,2022,2021,2020,2019,2017,2016,2015,2014,2013
Net Income,923,"1,418",302,272,7.83,183.7,-79.58,-6.39,0.34
Depreciation & Amortization,37,57,73,90,0,0,0,0,0
Share-Based Compensation,0,0,0,0,0.52,0.66,1.13,0.81,0.4
Other Operating Activities,"2,807","1,121",-47,338,-32.82,-208.9,46.52,-37.46,-24.97
Operating Cash Flow,"3,767","2,632",331,702,-6.42,-6.54,-14.18,-33.58,-24.23
Operating Cash Flow Growth,43.12%,695.17%,-52.85%,-,-,-,-,-,-
Capital Expenditures,-17,-41,-57,-53,0,0,0,0,0
Acquisitions,0,465,0,-85,0,0,0,0,0
Change in Investments,290,61,53,-204,73.05,21.98,-39.13,156.16,51.29
Other Investing Activities,"-1,595",707,-130,4,-,-,-,-,-
Investing Cash Flow,"-1,322","1,192",-134,-338,73.05,21.98,-39.13,156.16,51.29
Share Issuance / Repurchase,-239,-572,-58,0,0,0,0,0,0
Debt Issued / Paid,"-2,505",-828,"1,270","1,553",-18.77,-2.97,-9.48,-74.28,-30.77
Other Financing Activities,-40,"-2,296","-1,108","-1,866",-18.05,-18,563.69,17.73,-1.07
Financing Cash Flow,"-2,784","-3,696",104,-313,-36.82,-20.97,554.22,-56.56,-31.84
Net Cash Flow,-339,128,301,51,29.81,-5.53,500.91,66.02,-4.78
Free Cash Flow,"3,750","2,591",274,649,-6.42,-6.54,-14.18,-33.58,-24.23
Free Cash Flow Growth,44.73%,845.62%,-57.78%,-,-,-,-,-,-
Free Cash Flow Margin,152.19%,78.09%,10.19%,33.68%,-81.33%,-121.15%,-236.33%,-392.85%,-238.26%
Free Cash Flow Per Share,53.14,34.49,3.02,7.13,-0.38,-0.39,-0.84,-2.01,-1.45
