Year,2022,2021,2020,2019
Net Income,184.23,252.71,146.92,140.36
Depreciation & Amortization,2.41,2.55,2.95,2.5
Share-Based Compensation,32.14,21.51,6.16,12.03
Other Operating Activities,9.57,-67.54,-25.94,-1.42
Operating Cash Flow,228.35,209.22,130.1,153.47
Operating Cash Flow Growth,9.14%,60.82%,-15.23%,-
Capital Expenditures,-3.23,-1.12,-0.26,-1.71
Acquisitions,-15.09,0,0,0
Change in Investments,-3.57,-113.14,-47.55,2.02
Investing Cash Flow,-21.88,-114.26,-47.81,0.31
Dividends Paid,-30.22,-182.32,-134.19,-109.42
Share Issuance / Repurchase,0,137.21,-6.86,-2.79
Debt Issued / Paid,146.61,-1.31,126.43,-5.93
Other Financing Activities,-213.47,-72.03,-20.42,-11.26
Financing Cash Flow,-97.08,-118.45,-35.04,-129.39
Net Cash Flow,109.39,-23.48,47.24,24.38
Free Cash Flow,225.13,208.1,129.83,151.75
Free Cash Flow Growth,8.18%,60.28%,-14.44%,-
Free Cash Flow Margin,37.79%,31.33%,38.57%,46.60%
Free Cash Flow Per Share,9.41,9.24,1.18,-
