Year,2022,2021,2020,2019
Net Income,-44.52,96.46,-16.14,0.2
Depreciation & Amortization,0.39,0.05,0.07,0
Share-Based Compensation,2.09,0,0,0
Other Operating Activities,22.73,-98.66,38.04,-0.55
Operating Cash Flow,-19.3,-2.15,21.96,-0.36
Capital Expenditures,-0.97,-0,-0,0
Acquisitions,-16.23,-6.42,0,0
Change in Investments,3.01,183.92,-6.76,-46
Investing Cash Flow,-14.19,177.49,-6.77,-46
Dividends Paid,-17.44,0,0,0
Share Issuance / Repurchase,15.36,0,0,46.81
Debt Issued / Paid,14.22,-163.87,-5.9,0
Other Financing Activities,-,-,-,0.47
Financing Cash Flow,12.14,-163.87,-5.9,47.28
Net Cash Flow,-21.79,11.31,9.74,0.93
Free Cash Flow,-20.27,-2.16,21.96,-0.36
Free Cash Flow Margin,-65.23%,-18.81%,156.34%,-
Free Cash Flow Per Share,-0.36,-0.04,3.67,-0.09
