Year,2022,2021,2020,2019,2018,2017
Net Income,"1,110.01","1,096.45","1,059.97",938.27,468.06,568.27
Depreciation & Amortization,5.78,0.04,0.03,0.11,0.33,0.38
Other Operating Activities,-745.85,-614,922.61,-313.11,-471.08,-462.46
Operating Cash Flow,369.94,482.49,"1,982.61",625.28,-2.69,106.19
Operating Cash Flow Growth,-23.33%,-75.66%,217.08%,-,-,-
Capital Expenditures,-0.01,0,-0.11,-0.01,-0.01,-0.14
Acquisitions,-576.02,-348.7,"-3,581.23","-2,957.93",0,0
Change in Investments,-0.61,-9.97,0,0,0,0
Investing Cash Flow,-576.65,-358.67,"-3,581.34","-2,957.94",-0.01,-0.14
Share Issuance / Repurchase,195.27,0,0,"2,767.25",0,0
Debt Issued / Paid,-233.12,106.77,-85.44,112.53,-29.61,-38.56
Other Financing Activities,955.17,-113.43,"1,359.85",8.23,-9.05,-28.72
Financing Cash Flow,917.31,-6.66,"1,274.41","2,888.01",-38.66,-67.28
Net Cash Flow,549.89,69.43,-312.96,639.57,40.44,16.91
Free Cash Flow,369.93,482.49,"1,982.5",625.26,-2.7,106.05
Free Cash Flow Growth,-23.33%,-75.66%,217.07%,-,-,-
Free Cash Flow Margin,26.71%,34.52%,176.02%,33.88%,-0.58%,10.26%
Free Cash Flow Per Share,1.96,3.93,16.14,5.42,-0.02,-
