Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Net Income,124.56,190.29,63.62,83.81,80.24,52.4,40.59,47.86,32.46,26.9
Depreciation & Amortization,12.6,13.89,12.86,9.52,7.52,6.31,14.45,7.62,5.11,4.66
Share-Based Compensation,9.86,10.28,10.21,7.09,7.21,6.76,4.69,0,0,0
Other Operating Activities,642.31,-159.58,-356.7,-36.51,117.25,-27.86,-304.93,-101.25,-143.18,29.4
Operating Cash Flow,789.33,54.88,-270,63.91,212.21,37.61,-245.2,-45.78,-105.61,60.96
Operating Cash Flow Growth,1338.33%,-,-,-69.89%,464.23%,-,-,-,-,-
Capital Expenditures,-9.75,-6.1,-5.93,-5.54,-9.79,-4.51,-4.74,-5.9,-4.82,-5.88
Acquisitions,0,0,248.45,171.03,0,-135.14,0,24,0,0
Change in Investments,"-1,739.32",-852.85,59.97,-352.27,-582.4,-132.96,-34.7,-73.69,-29.53,-73.37
Other Investing Activities,4.96,9.4,7.65,3.86,5.69,5.44,6.7,3.77,4.74,5.05
Investing Cash Flow,"-1,744.12",-849.56,310.14,-182.91,-586.5,-267.17,-32.74,-51.82,-29.61,-74.2
Dividends Paid,-24.5,-20.87,-14.18,-10.05,-6.14,0,-69.3,-25.35,-14.85,-11.26
Share Issuance / Repurchase,-38.77,-6.12,0.98,0.8,1.2,153.36,116.05,0,0,0
Debt Issued / Paid,221.23,-66.48,-131.55,67.33,-119.82,46.31,36.7,-97.97,12.43,50.46
Other Financing Activities,26.15,"1,367.99","1,189.83",168.25,504.66,13.32,233.09,268.69,120,-17.18
Financing Cash Flow,184.1,"1,274.52","1,045.08",226.33,379.9,212.98,316.55,145.37,117.58,22.02
Net Cash Flow,-770.69,479.84,"1,085.22",107.33,5.61,-16.58,38.6,47.77,-17.64,8.78
Free Cash Flow,779.57,48.78,-275.94,58.37,202.42,33.1,-249.94,-51.68,-110.42,55.08
Free Cash Flow Growth,1498.27%,-,-,-71.17%,511.47%,-,-,-,-,-
Free Cash Flow Margin,153.48%,7.91%,-60.05%,16.47%,61.47%,11.19%,-97.21%,-27.30%,-80.66%,46.53%
Free Cash Flow Per Share,16.61,1.02,-5.85,1.89,6.59,1.20,-13.04,-3.01,-6.43,3.21
