Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Net Income,-29.24,4.76,-4.04,-3,-0.47,-8.63,-2.37,-0.02,0,1.73
Depreciation & Amortization,0.57,0.1,0.11,0.12,0.07,0.1,0,0,0,0
Share-Based Compensation,17.67,2.84,0.14,0.01,0.02,0.03,0,0,0,0
Other Operating Activities,1.86,-4.99,0.27,1.72,-0.38,6.69,-0.98,2.27,2.42,0.18
Operating Cash Flow,-9.14,2.7,-3.52,-1.16,-0.76,-1.81,-3.35,2.25,2.42,1.91
Operating Cash Flow Growth,-,-,-,-,-,-,-,-7.11%,27.04%,-
Capital Expenditures,-14.66,-16,-0,-0.01,0,-0.01,-0.27,-0.04,-0.15,-0.03
Acquisitions,-3.75,-5.74,-0.25,-1.45,0,0,0,0,0,0
Change in Investments,-0.47,-1.38,1.7,0.26,-1.18,0.41,0.71,1.22,1.25,0.27
Other Investing Activities,-,-0.06,-0.01,0.08,0.04,0.49,-0.1,-0.24,-0.02,0
Investing Cash Flow,-18.89,-23.18,1.45,-1.12,-1.14,0.89,0.35,0.93,1.09,0.24
Share Issuance / Repurchase,0,31.46,9.45,0,5.2,0,0,9.69,0,0
Debt Issued / Paid,-0.3,-0.22,0.02,-0.19,-0.37,-0.76,-2.47,0.19,-1.13,-1.66
Other Financing Activities,-,10.25,3.09,0.02,-,-,-1.26,-6.09,-1.11,-1.57
Financing Cash Flow,-0.3,41.48,12.56,-0.17,4.83,-0.76,-3.72,3.79,-2.24,-3.23
Net Cash Flow,-28.32,21.01,10.48,-2.45,2.93,-1.68,-6.73,6.97,1.26,-1.08
Free Cash Flow,-23.8,-13.3,-3.52,-1.17,-0.76,-1.82,-3.62,2.21,2.28,1.87
Free Cash Flow Growth,-,-,-,-,-,-,-,-3.07%,21.45%,-
Free Cash Flow Margin,-1372.65%,-1479.34%,-278.93%,-49.03%,-22.37%,-41.42%,-73.89%,31.70%,29.76%,27.18%
Free Cash Flow Per Share,-1.82,-1.95,-2.17,-1.87,-3.80,-27.07,-54.86,33.43,34.49,-
