Year,2022,2021,2020,2019,2018,2017,2016,2015,2013,2012,2011 - 1999
Net Income,32.31,84.14,33.62,41.14,35.68,38.98,27.31,35.74,0,5.64,Upgrade
Depreciation & Amortization,0.24,0.3,0.4,0.5,0.48,0.4,0.3,0.33,0,3.04,Upgrade
Other Operating Activities,-94.97,56.48,-16.26,-130.59,-109.83,-112.31,-41.7,-74.01,4.97,-13.03,Upgrade
Operating Cash Flow,-62.42,140.92,17.76,-88.96,-73.67,-72.94,-14.1,-37.95,4.97,-4.35,Upgrade
Operating Cash Flow Growth,-,693.35%,-,-,-,-,-,-,-,-,Upgrade
Capital Expenditures,-0.01,0,-0.01,-0.13,-0.63,-0.45,-0.38,-0.11,-2.03,-3.06,Upgrade
Change in Investments,0,0,0,0,0,0,0,0,-34.09,-20.88,Upgrade
Other Investing Activities,-,-,-,-,-,-,-,0.41,-,1.44,Upgrade
Investing Cash Flow,-0.01,0,-0.01,-0.13,-0.63,-0.45,-0.38,0.3,-36.12,-22.5,Upgrade
Dividends Paid,-64.54,-70.14,-42.58,-40.77,-32.43,-28.2,-27.3,-24.31,0,0,Upgrade
Share Issuance / Repurchase,1.19,48.43,25.52,33.65,5.09,56,-0.87,35.29,0.2,-0.97,Upgrade
Debt Issued / Paid,67.08,61.52,18.38,101.96,116.4,44.89,41.07,12.08,38.85,23.41,Upgrade
Other Financing Activities,-2.55,-45.3,-0.86,-3.9,-3.95,-1.66,-2.71,1.08,-9.63,7.44,Upgrade
Financing Cash Flow,1.18,-5.49,0.47,90.94,85.11,71.02,10.19,24.14,29.43,29.88,Upgrade
Net Cash Flow,-61.25,135.44,18.22,1.86,10.81,-2.36,-4.28,-13.51,-1.72,3.03,Upgrade
Free Cash Flow,-62.43,140.92,17.75,-89.08,-74.29,-73.38,-14.47,-38.06,2.94,-7.41,Upgrade
Free Cash Flow Growth,-,693.80%,-,-,-,-,-,-,-,-,Upgrade
Free Cash Flow Margin,-72.39%,129.89%,19.25%,-150.24%,-150.04%,-188.57%,-46.74%,-145.98%,2.05%,-5.65%,Upgrade
Free Cash Flow Per Share,-2.56,6.18,0.84,-4.61,-3.97,-4.24,-0.99,-3.53,0.42,-1.04,Upgrade
