Year,2022,2021,2020,2019,2018,2017,2016
Net Income,40.63,27.01,15.15,13.2,9.7,5.44,5
Depreciation & Amortization,1.81,1.59,1.36,1.24,1.07,0.99,0.9
Share-Based Compensation,2.52,1.28,0.63,0.43,0.31,0.29,0.14
Other Operating Activities,22.15,-0.03,2.2,-1.2,3.32,0.9,1.08
Operating Cash Flow,67.1,29.85,19.33,13.67,14.4,7.62,7.12
Operating Cash Flow Growth,124.81%,54.41%,41.39%,-5.08%,89.08%,7.03%,-
Capital Expenditures,-2.84,-2.59,-5.37,-1.21,-1.15,-1.06,-0.91
Acquisitions,0,-19.98,0,0,0,0,0
Change in Investments,-985.06,-212.07,-661.17,-163.33,-137.97,-60.7,-118.77
Other Investing Activities,-0.05,-5,-,-,-,-,0.99
Investing Cash Flow,-987.95,-239.64,-666.54,-164.55,-139.12,-61.76,-118.69
Share Issuance / Repurchase,1.47,32.75,0.2,0.12,33.6,0.02,-0
Debt Issued / Paid,-5.37,-139.45,168.72,-10,0,5,8.13
Other Financing Activities,453.73,966.54,453.35,164.35,100.32,54.63,105.08
Financing Cash Flow,449.83,859.84,622.27,154.47,133.92,59.65,113.21
Net Cash Flow,-471.02,650.04,-24.95,3.59,9.2,5.51,1.64
Free Cash Flow,64.26,27.25,13.96,12.46,13.25,6.56,6.21
Free Cash Flow Growth,135.78%,95.20%,12.07%,-6.00%,102.03%,5.70%,-
Free Cash Flow Margin,29.56%,27.91%,24.38%,26.10%,34.46%,20.17%,21.40%
Free Cash Flow Per Share,4.96,2.27,1.17,1.05,1.27,0.71,0.67
