Year,2022,2021,2020,2019,2018
Net Income,-364.58,-164.99,-171.49,-92.53,-28.58
Depreciation & Amortization,35.58,17.34,7.43,5.07,1.07
Share-Based Compensation,253.2,157.32,35.57,18.51,9.33
Other Operating Activities,831.37,"-2,933.99","1,103.01",345.08,12.74
Operating Cash Flow,755.57,"-2,924.32",974.52,276.14,-5.45
Operating Cash Flow Growth,-,-,252.91%,-,-
Capital Expenditures,-20,-6.03,-3.08,-2.38,-5.88
Acquisitions,-10.35,-114.49,-8.28,0,0
Change in Investments,-2.5,-11.21,0,0,0
Other Investing Activities,-94.31,-22.47,-4.9,-2.3,-0.51
Investing Cash Flow,-127.15,-154.2,-16.27,-4.68,-6.38
Share Issuance / Repurchase,252.5,"2,598.49",6.76,2.06,243.2
Debt Issued / Paid,405.52,-14.96,-66.66,209.14,10.22
Other Financing Activities,-3.99,752.46,300,400,-
Financing Cash Flow,654.04,"3,335.98",240.1,611.19,253.41
Net Cash Flow,"1,282.46",257.47,"1,198.35",882.65,241.59
Free Cash Flow,735.57,"-2,930.34",971.44,273.76,-11.32
Free Cash Flow Growth,-,-,254.85%,-,-
Free Cash Flow Margin,15.35%,-172.57%,131.79%,44.72%,-3.55%
Free Cash Flow Per Share,0.16,-1.83,0.74,0.24,-0.01
