Year,2022,2021,2020,2019,2018,2017,2016,2015
Net Income,28.52,17.93,12.62,14.14,8.73,3.64,2.82,1.17
Depreciation & Amortization,0.7,0.69,0.57,0.51,0.42,0.41,0.17,0.24
Share-Based Compensation,2.44,1.97,1.54,1.1,1.5,0.55,0.39,0.14
Other Operating Activities,7.13,9.5,0.86,0.57,-0.55,-0.63,2.94,0.02
Operating Cash Flow,38.8,30.08,15.59,16.31,10.11,3.98,6.32,1.57
Operating Cash Flow Growth,28.98%,92.94%,-4.41%,61.29%,154.13%,-37.03%,302.74%,-
Capital Expenditures,-1.24,-2.94,-3.14,-2.06,-1.25,-0.19,-2.67,-0.09
Change in Investments,-220.27,-167.55,-132.31,-95.25,-141.49,-108.6,-64.16,-60.88
Other Investing Activities,-,-,-,-,-,-,1.25,-
Investing Cash Flow,-221.5,-170.49,-135.44,-97.31,-142.74,-108.79,-65.57,-60.97
Dividends Paid,-2.15,0,0,0,0,0,0,0
Share Issuance / Repurchase,0.33,0.03,-0.17,0.05,0.38,27.28,0,9.76
Debt Issued / Paid,-0,-0,-0.04,-0,-0.19,-0.09,-0.01,-0.01
Other Financing Activities,199.49,224.36,123.43,112.2,119.93,77.71,69.1,10.91
Financing Cash Flow,197.67,224.38,123.23,112.25,120.12,104.9,69.09,20.66
Net Cash Flow,14.97,83.97,3.38,31.24,-12.52,0.08,9.84,-38.74
Free Cash Flow,37.56,27.14,12.45,14.25,8.86,3.79,3.65,1.48
Free Cash Flow Growth,38.42%,117.88%,-12.59%,60.83%,133.81%,3.72%,146.16%,-
Free Cash Flow Margin,46.50%,46.97%,27.17%,32.33%,25.89%,15.49%,19.04%,10.59%
Free Cash Flow Per Share,4.61,3.46,1.63,1.89,1.19,0.52,0.51,-
