Year,2022,2021,2020,2019,2018,2017,2016
Net Income,1.88,1.61,1.19,0.96,1.41,1.17,1.14
Depreciation & Amortization,0.19,0.17,0.16,0.14,0.12,0.14,0.15
Share-Based Compensation,0.44,0.42,0.37,0.33,0.07,0,0
Other Operating Activities,0.04,0.21,0.13,0.16,0.93,0.02,0.31
Operating Cash Flow,2.55,2.41,1.85,1.59,2.53,1.33,1.6
Operating Cash Flow Growth,5.89%,30.59%,16.02%,-37.00%,89.57%,-16.69%,-
Capital Expenditures,-0.45,-0.18,-0.13,-0.09,-0.05,-0.02,-0.05
Change in Investments,-38.64,-13.89,-33.71,-0.48,-19.12,-0.27,-4.28
Other Investing Activities,0.26,-0,-0,-0,0.35,0.36,0.19
Investing Cash Flow,-38.83,-14.08,-33.85,-0.57,-18.81,0.07,-4.15
Dividends Paid,-0.49,-0.38,-0.26,-0.27,-0.07,0,0
Share Issuance / Repurchase,-2.11,-3.01,-5.04,-0.5,22.37,0,0
Debt Issued / Paid,19,-1,1,10,0,0,0
Other Financing Activities,9.18,22.77,27.14,-4.14,-0.79,-2.25,-6.16
Financing Cash Flow,25.58,18.38,22.85,5.1,21.52,-2.25,-6.16
Net Cash Flow,-10.7,6.72,-9.16,6.12,5.24,-0.85,-8.71
Free Cash Flow,2.11,2.23,1.72,1.5,2.48,1.31,1.55
Free Cash Flow Growth,-5.51%,30.09%,14.11%,-39.37%,88.95%,-15.19%,-
Free Cash Flow Margin,23.92%,26.97%,23.66%,19.11%,32.67%,17.71%,22.05%
Free Cash Flow Per Share,0.73,0.74,0.54,0.43,0.69,0.37,-
