Year,2022,2021,2020,2019,2018,2017
Net Income,-41.77,-30.65,-15.7,-8.65,-0.62,3.85
Depreciation & Amortization,86.36,51.51,20.17,10.55,3.09,1.44
Share-Based Compensation,47.39,19.19,7.74,4.61,1.71,0.66
Other Operating Activities,-94.44,0.07,24.6,5.5,7.62,2.07
Operating Cash Flow,-2.46,40.13,36.82,12.01,11.79,8.02
Operating Cash Flow Growth,-,9.00%,206.45%,1.87%,47.13%,-
Capital Expenditures,-21.98,-5.32,-5.47,-1.72,-0.53,-0.43
Acquisitions,-392.38,-673.15,-672.34,-99.3,-42,-13.2
Investing Cash Flow,-414.36,-678.47,-677.81,-101.02,-42.53,-13.63
Share Issuance / Repurchase,0,268.32,449.71,233.71,0.38,0.21
Debt Issued / Paid,459.67,469.68,341.46,-35.87,48.04,10.81
Other Financing Activities,-40.12,-13.94,-79.22,-45.75,-12.81,-6.93
Financing Cash Flow,419.55,724.06,711.94,152.08,35.61,4.08
Net Cash Flow,2.73,85.72,70.95,63.08,4.87,-1.53
Free Cash Flow,-24.44,34.81,31.35,10.3,11.27,7.58
Free Cash Flow Growth,-,11.04%,204.47%,-8.63%,48.57%,-
Free Cash Flow Margin,-2.49%,6.14%,13.01%,7.47%,14.11%,15.80%
Free Cash Flow Per Share,-0.43,0.73,1.15,0.57,0.19,-
