Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Net Income,26.49,22.49,13.81,10.14,14.71,11.01,11.84,11.01,9,8.8,Upgrade
Depreciation & Amortization,2.05,1.95,1.89,1.27,0.64,0.82,0.95,1.07,1.09,1.05,Upgrade
Share-Based Compensation,0.04,0.26,0.32,0.51,0.69,0.48,0.55,0.77,0,0,Upgrade
Other Operating Activities,-4.6,-11.8,2.09,5.14,0.98,0.49,0.24,-2.03,1.44,-2.69,Upgrade
Operating Cash Flow,23.99,12.9,18.1,17.06,17.02,12.81,13.58,10.81,11.52,7.16,Upgrade
Operating Cash Flow Growth,85.90%,-28.70%,6.05%,0.25%,32.91%,-5.71%,25.68%,-6.23%,60.95%,-26.41%,Upgrade
Capital Expenditures,-0.61,-3.69,-3.1,-3.98,-0.96,-0.15,-0.01,-0.64,-1.06,-0.85,Upgrade
Acquisitions,0,0,0,161.28,0,0,0,0,0,0,Upgrade
Change in Investments,-15.75,-56.98,-95.28,-75.15,-27.29,-46.02,-41.29,-56.81,-,-,Upgrade
Other Investing Activities,-10.11,64.22,-41.87,-50.36,-80.36,-66.74,18.2,-3.95,-68.65,-112.28,Upgrade
Investing Cash Flow,-26.46,3.54,-140.25,31.79,-108.61,-112.91,-23.11,-61.39,-69.71,-113.13,Upgrade
Dividends Paid,-6.46,-4.39,-2.71,-1.28,-0.2,0,0,0,0,0,Upgrade
Common Stock Issued,1.09,0.05,0.03,0,0,51.81,0,0,0,0,Upgrade
Share Repurchases,-9.42,-10.03,0,0,0,0,0,0,0.04,0,Upgrade
Other Financing Activities,-106.95,59.14,129.66,-1.36,35.35,111.51,0.54,47.3,62.67,108.78,Upgrade
Financing Cash Flow,-102.9,64.84,126.99,-2.64,35.15,163.32,0.54,47.3,62.63,108.78,Upgrade
Net Cash Flow,-105.37,81.29,4.83,46.21,-56.44,63.22,-8.98,-3.28,4.45,2.81,Upgrade
Free Cash Flow,23.38,9.21,15,13.08,16.06,12.66,13.57,10.17,10.46,6.31,Upgrade
Free Cash Flow Growth,153.83%,-38.59%,14.66%,-18.55%,26.90%,-6.75%,33.46%,-2.82%,65.83%,-22.67%,Upgrade
Free Cash Flow Margin,32.05%,13.69%,27.96%,29.18%,37.24%,30.16%,33.91%,26.30%,28.94%,19.31%,Upgrade
Free Cash Flow Per Share,3.63,1.38,2.21,1.94,2.42,2.30,2.89,2.16,2.23,1.36,Upgrade
