Year,2022,2021,2020,2019,2018,2017
Net Income,6.88,7.52,2.07,2.43,4.14,3.9
Depreciation & Amortization,0.26,-0.34,0.27,0.3,0.31,0.35
Share-Based Compensation,1.21,0.57,0.22,0,0,0
Other Operating Activities,2.51,-1.79,3.24,-0.15,-0.27,1.49
Operating Cash Flow,10.86,5.96,5.8,2.57,4.18,5.74
Operating Cash Flow Growth,82.11%,2.71%,125.50%,-38.43%,-27.15%,-
Capital Expenditures,-0.24,-1.46,-1.75,-0.16,-0.52,-0.13
Acquisitions,0,19.39,0,0,0,0
Change in Investments,-205.48,25.21,-19.5,14.7,4.47,-38.11
Other Investing Activities,-5,-8,-1.01,-12.89,-25.65,-
Investing Cash Flow,-210.72,35.15,-22.25,1.65,-21.7,-38.24
Share Issuance / Repurchase,-10.07,-0.48,-33.82,90.35,0,0
Debt Issued / Paid,17.67,-29.73,6.57,21.31,-14.36,14.81
Other Financing Activities,104.04,13.79,-3.77,-12.54,33.84,-1.24
Financing Cash Flow,111.64,-16.43,-31.03,99.12,19.48,13.56
Net Cash Flow,-88.23,24.68,-47.48,103.34,1.96,-18.93
Free Cash Flow,10.61,4.5,4.06,2.41,3.66,5.61
Free Cash Flow Growth,135.63%,11.03%,68.03%,-33.96%,-34.84%,-
Free Cash Flow Margin,44.64%,18.88%,27.97%,20.61%,26.41%,38.90%
Free Cash Flow Per Share,0.78,0.33,0.33,0.18,-,-
