Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2005
Net Income,34.07,48.62,24.77,27.93,31.59,16.82,16.01,12.55,9.87,7.29,Upgrade
Depreciation & Amortization,3.46,3.08,3.06,2.88,2.5,1.96,1.8,1.81,1.74,1.42,Upgrade
Share-Based Compensation,2.44,2.35,2.05,2.41,2.54,2.14,1.57,1.12,1.45,2.13,Upgrade
Other Operating Activities,11.22,1.66,19.15,10.72,10.49,3.83,1.12,20.69,14.84,10.43,Upgrade
Operating Cash Flow,51.2,55.72,49.03,43.94,47.13,24.75,20.49,36.17,27.9,21.28,Upgrade
Operating Cash Flow Growth,-8.11%,13.63%,11.59%,-6.77%,90.40%,20.81%,-43.35%,29.62%,31.14%,87.59%,Upgrade
Capital Expenditures,-2.62,-2.06,-2.14,-3.79,-3.96,-1.09,0.22,1.19,-3.24,-1.35,Upgrade
Acquisitions,-27.31,0,0,0,0,68.21,0,-56.4,-23,0,Upgrade
Change in Investments,-463.07,52.78,-261.61,-62.67,-21.48,8.56,-13.19,-12.5,16.83,-48.92,Upgrade
Other Investing Activities,-2.35,4.21,3.71,-5.87,0.76,2.99,1.46,5.78,7.61,7.39,Upgrade
Investing Cash Flow,-495.35,54.93,-260.04,-72.33,-24.69,78.68,-11.5,-61.93,-1.8,-42.87,Upgrade
Dividends Paid,-7.78,-7.87,-7.9,-7.9,-6.71,-4.07,-2.99,-2.16,-0.5,0,Upgrade
Share Issuance / Repurchase,-10.96,-8.82,-13.98,-13.21,-0.28,1.12,1.06,-0.18,0.02,-6.2,Upgrade
Debt Issued / Paid,204.04,-2.8,-11.83,-18.14,-13.22,-64.03,-6.48,-18.22,-64.96,50.94,Upgrade
Other Financing Activities,-255.2,322.33,392.82,47.87,-93.04,84.66,3.94,42.06,35.78,-30.04,Upgrade
Financing Cash Flow,-69.89,302.85,359.11,8.62,-113.24,17.68,-4.47,21.49,-29.66,14.7,Upgrade
Net Cash Flow,-514.04,413.49,148.11,-19.77,-90.8,121.1,4.52,-4.28,-3.56,-6.9,Upgrade
Free Cash Flow,48.58,53.66,46.89,40.15,43.17,23.66,20.71,37.35,24.66,19.93,Upgrade
Free Cash Flow Growth,-9.47%,14.44%,16.78%,-6.99%,82.42%,14.26%,-44.55%,51.50%,23.72%,82.20%,Upgrade
Free Cash Flow Margin,39.04%,42.11%,49.99%,41.23%,42.53%,31.35%,29.43%,60.99%,43.37%,45.05%,Upgrade
Free Cash Flow Per Share,5.87,6.29,5.36,4.33,4.55,3.18,2.83,5.16,3.47,2.81,Upgrade
