Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Net Income,265.03,476.88,649.2,-58.6,289.44,2.94,32.98,20.89,190.06,182.2,Upgrade
Depreciation & Amortization,66.38,67.82,66.74,65.64,61.15,47.33,29.7,33.63,30.44,23.92,Upgrade
Share-Based Compensation,67.22,55.75,59.84,71.73,31.93,26.26,22.87,61.88,14.23,13.44,Upgrade
Other Operating Activities,308.18,571.18,285.11,89.99,332.07,214.05,154.05,143.89,37.97,39.8,Upgrade
Operating Cash Flow,706.8,"1,171.63","1,060.88",168.77,714.6,290.57,239.6,260.28,272.7,259.36,Upgrade
Operating Cash Flow Growth,-39.67%,10.44%,528.59%,-76.38%,145.93%,21.28%,-7.95%,-4.55%,5.14%,61.65%,Upgrade
Capital Expenditures,-64.86,-60.07,-60.36,-57.81,-47.95,-33.09,-20.26,-24.3,-36.16,-32.02,Upgrade
Acquisitions,0,0,60.59,-835.58,377.12,-804.93,-38.75,0,0,0,Upgrade
Change in Investments,0,0,7.62,0,0,0,0,0,0,0,Upgrade
Other Investing Activities,35.33,-27.28,-10.41,-6.25,-,-,-,-,-,-,Upgrade
Investing Cash Flow,-29.53,-87.35,-2.56,-899.64,329.17,-838.02,-59.02,-24.3,-36.16,-32.02,Upgrade
Dividends Paid,-375.28,-548.02,-484.42,-211.64,-100.33,-63.81,-37.76,-147.36,-140.65,0,Upgrade
Share Issuance / Repurchase,-483.69,-420.87,-33.42,-15.52,1.37,-13.83,-7.34,43.27,-0.92,-0.57,Upgrade
Debt Issued / Paid,105.37,-41.41,-308.79,996.73,-517.26,384.58,46.83,41.11,-80.09,231.28,Upgrade
Other Financing Activities,17.86,52.44,-13.29,-,-219.26,-89.56,-162.97,-81.38,-,-433.4,Upgrade
Financing Cash Flow,-735.75,-957.86,-839.92,769.58,-835.48,217.37,-161.24,-144.36,-221.65,-202.7,Upgrade
Net Cash Flow,-82.71,113.95,233.73,37.23,203.16,0,18.18,87.37,9.85,26.03,Upgrade
Free Cash Flow,641.94,"1,111.56","1,000.53",110.96,666.65,257.48,219.34,235.98,236.54,227.35,Upgrade
Free Cash Flow Growth,-42.25%,11.10%,801.71%,-83.36%,158.91%,17.39%,-7.05%,-0.24%,4.04%,70.44%,Upgrade
Free Cash Flow Margin,27.15%,39.54%,30.89%,7.31%,35.48%,25.05%,31.23%,29.64%,32.71%,34.21%,Upgrade
Free Cash Flow Per Share,6.17,9.47,8.22,0.97,6.61,4.12,5.69,6.75,1.73,-,Upgrade
