Year,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011 - 1995
Net Income,3,8.35,3.47,-3.65,-1.1,5.41,12.38,16.86,16.7,19.94,Upgrade
Depreciation & Amortization,1.79,1.84,2.31,0.38,0.47,0.49,0.46,0.37,0.32,0.28,Upgrade
Share-Based Compensation,0.2,0.2,0.2,0.08,0.22,0.61,0.57,0.51,0.54,0.81,Upgrade
Other Operating Activities,-1.5,4.02,4.51,17.23,25.56,20.81,9,6.76,3.81,4.61,Upgrade
Operating Cash Flow,3.49,14.4,10.49,14.04,25.15,27.32,22.41,24.49,21.37,25.65,Upgrade
Operating Cash Flow Growth,-75.79%,37.37%,-25.34%,-44.16%,-7.94%,21.93%,-8.51%,14.63%,-16.69%,17.24%,Upgrade
Capital Expenditures,-1.31,-0.6,-0.11,-0.13,-0.06,-0.72,-0.85,-0.38,-0.38,-0.26,Upgrade
Acquisitions,0,0,-20.48,0,0,0,0,0,0,0,Upgrade
Change in Investments,5.17,30.68,16.91,44.29,21.89,-27.68,-33.74,-24.81,-21.01,-10.48,Upgrade
Other Investing Activities,-,-,-,-,-,-0.31,-0.4,-0.05,-0.49,0.17,Upgrade
Investing Cash Flow,3.86,30.08,-3.68,44.16,21.83,-28.7,-34.99,-25.24,-21.88,-10.57,Upgrade
Dividends Paid,0,0,0,0,0,0,0,0,-2.85,-29.84,Upgrade
Share Issuance / Repurchase,-2.03,-0.91,-0.97,0.02,0.46,0.05,0.04,-70.02,0.33,0.61,Upgrade
Debt Issued / Paid,-33.52,-35.29,-18.79,-23.2,-47.43,2.35,11.02,71.24,2.64,13.99,Upgrade
Other Financing Activities,-,-,-,-,-0.24,-0.01,-0.01,0.28,0.23,0.16,Upgrade
Financing Cash Flow,-35.55,-36.19,-19.77,-23.19,-47.21,2.39,11.04,1.5,0.35,-15.08,Upgrade
Net Cash Flow,-28.2,8.29,-12.96,35.02,-0.23,1.01,-1.54,0.75,-0.16,-0.01,Upgrade
Free Cash Flow,2.18,13.81,10.38,13.91,25.09,26.6,21.56,24.12,20.98,25.39,Upgrade
Free Cash Flow Growth,-84.20%,33.05%,-25.41%,-44.55%,-5.68%,23.41%,-10.62%,14.93%,-17.35%,17.40%,Upgrade
Free Cash Flow Margin,4.38%,24.65%,16.71%,19.51%,29.90%,29.41%,23.76%,27.79%,25.40%,30.92%,Upgrade
Free Cash Flow Per Share,0.17,1.10,0.82,1.10,1.99,2.13,1.73,1.96,1.72,2.09,Upgrade
