Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2004
Net Income,"14,822","12,607","3,898","5,969","12,608","9,683","1,299","12,572","13,115","16,204",Upgrade
Depreciation & Amortization,"3,873","4,286","5,241","10,519","1,933","1,862","5,212","2,181","2,251",0,Upgrade
Share-Based Compensation,400,467,433,478,450,500,0,757,732,0,Upgrade
Other Operating Activities,"6,126","85,642","171,317","11,363","16,405","-25,574","61,268","-17,582","-38,043","28,773",Upgrade
Operating Cash Flow,"26,434","104,312","182,220","29,743","32,515","-12,414","68,959","-1,122","-21,372","44,977",Upgrade
Operating Cash Flow Growth,-74.66%,-42.75%,512.65%,-8.53%,-,-,-,-,-,-,Upgrade
Capital Expenditures,"-1,285","-1,086","-1,446","-1,343","-1,196","-1,167",0,"-1,249","-1,389","-1,511",Upgrade
Acquisitions,-989,-106,-603,-83,4,165,0,8,-272,"10,682",Upgrade
Change in Investments,"-29,081","31,207","-18,317","-31,603","-13,606","67,844",0,"-36,717","-2,397","-14,922",Upgrade
Other Investing Activities,"-3,125","-2,479","-2,064","-2,289","-1,848","-1,285","-1,215",-954,-903,-834,Upgrade
Investing Cash Flow,"-34,480","27,536","-22,430","-35,318","-16,646","65,557","-1,215","-38,912","-4,961","-6,585",Upgrade
Dividends Paid,"-6,970","-6,383","-2,023","-9,773","-10,762","-9,005","-9,157","-8,195","-7,823","-6,414",Upgrade
Share Issuance / Repurchase,"-2,376",-97,"1,316",-859,"4,136","2,129",37,"4,058","5,852",265,Upgrade
Debt Issued / Paid,"5,523",-864,"-3,538","-4,210","-4,077","-3,574","2,027","1,023",337,327,Upgrade
Other Financing Activities,"-2,463","-3,450",-398,-,"-6,078",-,"-1,825",-463,-234,"-1,159",Upgrade
Financing Cash Flow,"-6,286","-10,794","-4,643","-14,842","-16,781","-10,450","-8,918","-3,577","-1,868","-6,981",Upgrade
Net Cash Flow,"-14,332","121,054","155,147","-20,417",-912,"42,693","44,981","-43,611","-28,201","31,411",Upgrade
Free Cash Flow,"25,149","103,226","180,774","28,400","31,319","-13,581","68,959","-2,371","-22,761","43,466",Upgrade
Free Cash Flow Growth,-75.64%,-42.90%,536.53%,-9.32%,-,-,-,-,-,-,Upgrade
Free Cash Flow Margin,40.83%,161.44%,286.61%,39.99%,49.25%,-21.29%,115.25%,-3.34%,-30.51%,55.49%,Upgrade
Free Cash Flow Per Share,6.09,24.94,43.80,6.97,7.71,-3.36,17.52,-0.62,-6.04,11.76,Upgrade
