Year,2022,2021,2020,2019,2018,2017,2016
Net Income,-0.15,0.09,1.32,0.45,-0.02,1.66,1.25
Depreciation & Amortization,0.6,0.65,0.66,0.7,0.66,0.69,0.67
Share-Based Compensation,0.56,0.49,0.22,0.07,0,0,0
Other Operating Activities,1.57,1.55,-0.94,-0.27,-1.33,-2.02,-0.24
Operating Cash Flow,2.59,2.78,1.27,0.95,-0.68,0.33,1.68
Operating Cash Flow Growth,-6.91%,119.35%,33.83%,-,-,-80.56%,-
Capital Expenditures,-0.19,-0.24,-0.29,0.13,-1.19,-0.52,-0.48
Acquisitions,0,0.1,0,0,0,0,0
Change in Investments,-54.95,-50.39,-6.19,56.81,-16.58,-11.05,-24.49
Other Investing Activities,-,-,-,1.11,0.86,-,0.5
Investing Cash Flow,-55.14,-50.53,-6.48,58.05,-16.91,-11.58,-24.46
Share Issuance / Repurchase,-4.32,33.2,-1.05,18.27,0,0,0
Debt Issued / Paid,15.19,-13.83,51.83,-11.95,-3.83,-14.44,17.46
Other Financing Activities,3.22,2.67,35.25,-61.54,16.85,30.41,5.9
Financing Cash Flow,14.1,22.03,86.03,-55.21,13.02,15.97,23.37
Net Cash Flow,-38.46,-25.72,80.82,3.78,-4.57,4.72,0.59
Free Cash Flow,2.4,2.53,0.98,1.08,-1.87,-0.2,1.2
Free Cash Flow Growth,-5.37%,159.10%,-9.36%,-,-,-,-
Free Cash Flow Margin,15.02%,14.96%,5.22%,6.55%,-12.10%,-1.32%,7.87%
Free Cash Flow Per Share,0.41,0.42,0.21,0.17,-0.29,-,-
