Year,2022,2021,2020,2019
Net Income,0.18,1.92,-0.7,1.33
Depreciation & Amortization,0.45,0.42,0.35,0.3
Share-Based Compensation,0.47,0.07,0,0
Other Operating Activities,-0.33,1.02,1.21,0.09
Operating Cash Flow,0.77,3.43,0.86,1.71
Operating Cash Flow Growth,-77.48%,300.00%,-49.91%,-
Capital Expenditures,-0.25,-1.49,-0.53,-2.29
Change in Investments,-3.93,-45.32,0.64,5.54
Other Investing Activities,-9.96,0.22,-0.42,0.91
Investing Cash Flow,-14.14,-46.59,-0.31,4.16
Share Issuance / Repurchase,-2.34,46.6,0,0
Debt Issued / Paid,0,0,-16.18,0
Other Financing Activities,-11.7,12.2,22.97,-4.81
Financing Cash Flow,-14.04,58.8,6.79,-4.81
Net Cash Flow,-27.41,15.64,7.34,1.07
Free Cash Flow,0.52,1.94,0.33,-0.58
Free Cash Flow Growth,-73.21%,495.40%,-,-
Free Cash Flow Margin,5.86%,19.05%,4.82%,-7.25%
Free Cash Flow Per Share,0.10,0.37,-,-
