Year,2022,2021,2020,2019,2018,2017,2016,2015,2014
Net Income,52.91,54.02,31.96,25.26,23.88,14.82,16.9,15.69,14.94
Depreciation & Amortization,0.73,-1.84,-8.13,0.83,1.89,1.95,2.11,1.94,1.82
Share-Based Compensation,1.96,2.28,4.56,2.17,2.63,2.05,1.59,0.5,0.51
Other Operating Activities,-3.64,11.04,8.41,0.54,-4.38,10.95,-4.76,1.89,-1.17
Operating Cash Flow,51.95,65.51,36.8,28.79,24.02,29.77,15.83,20.02,16.1
Operating Cash Flow Growth,-20.70%,78.03%,27.80%,19.86%,-19.30%,88.01%,-20.90%,24.32%,-
Capital Expenditures,-1.78,-2.03,-2.22,-1.9,-1.16,-0.81,-1.19,-4.94,-0.23
Acquisitions,82.17,0,43.06,2.06,0,0,0,0,0
Change in Investments,-474.37,-854.43,-99.77,-113.64,-226.4,-60.95,-106.38,-123.47,-106.48
Other Investing Activities,14.78,-,-,-,0.68,-,-,-,-5
Investing Cash Flow,-379.18,-856.46,-58.93,-113.47,-226.88,-61.76,-107.57,-128.41,-111.72
Dividends Paid,-18.41,-16.55,-13.08,-9.52,-8.04,-7.58,-7.43,-7.18,-6.6
Share Issuance / Repurchase,0,0,0,38.2,0,0,0,1.17,1.06
Debt Issued / Paid,85.03,-16.39,-234.99,28.82,89.83,-0.17,-0.16,-65.09,69
Other Financing Activities,111.19,928.27,284.65,70.03,35.95,89.28,128.73,186.69,-38.51
Financing Cash Flow,177.8,895.32,36.58,127.54,117.74,81.53,121.14,115.59,24.95
Net Cash Flow,-149.43,104.37,14.45,42.86,-85.12,49.54,29.41,7.21,-70.67
Free Cash Flow,50.17,63.48,34.58,26.9,22.87,28.96,14.65,15.08,15.87
Free Cash Flow Growth,-20.95%,83.57%,28.56%,17.62%,-21.04%,97.73%,-2.86%,-4.98%,-
Free Cash Flow Margin,27.52%,36.56%,24.45%,24.00%,24.05%,33.11%,17.82%,19.72%,22.29%
Free Cash Flow Per Share,7.00,9.16,5.50,5.81,5.63,7.18,3.67,3.83,4.08
