Year,2022,2021,2020,2019
Net Income,262.34,108.46,-23.93,3.64
Depreciation & Amortization,105.75,94.66,79.95,7.26
Other Operating Activities,-21.71,-21.94,10.79,-4.47
Operating Cash Flow,346.39,181.18,66.81,6.43
Operating Cash Flow Growth,91.18%,171.20%,939.56%,-
Capital Expenditures,-229.84,-189.84,-116.74,7.38
Acquisitions,-0.72,3.82,0,0.77
Investing Cash Flow,-230.56,-186.02,-116.74,8.15
Dividends Paid,-10.66,-51.09,-12.88,0
Share Issuance / Repurchase,6.61,0,0,0
Debt Issued / Paid,-51.1,12.6,-18,-6
Other Financing Activities,-21.69,46.98,82.95,-7.24
Financing Cash Flow,-76.85,8.49,52.07,-13.24
Net Cash Flow,38.98,3.65,2.13,1.34
Free Cash Flow,116.55,-8.66,-49.94,13.81
Free Cash Flow Margin,23.43%,-2.98%,-57.33%,102.74%
Free Cash Flow Per Share,0.88,-0.07,-0.38,-
