Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Net Income,100.6,828.4,286.7,223.9,136.4,4.2,126.4,155.5,51.7,25.7,Upgrade
Depreciation & Amortization,18.6,22.2,20.1,16.4,21.1,18.3,12,7.1,134.6,147.8,Upgrade
Share-Based Compensation,-30.3,39.1,-2.8,-50.7,198.8,192.3,45.1,44.4,103.9,61.6,Upgrade
Other Operating Activities,27.9,-901.2,-213.5,-328.1,-161.2,-75.1,-45.8,46.6,-136.1,-90.6,Upgrade
Operating Cash Flow,116.8,-11.5,90.5,-138.5,195.1,139.7,137.7,253.6,154.1,144.5,Upgrade
Operating Cash Flow Growth,-,-,-,-,39.66%,1.45%,-45.70%,64.57%,6.64%,2157.81%,Upgrade
Capital Expenditures,-16.1,-15.1,-25.6,-32.9,-21.7,-13.7,-13.5,-13,-7.6,-9.9,Upgrade
Acquisitions,0,"1,010.9",295.2,5,105,-1.9,-219.1,-0.6,-14.8,0,Upgrade
Change in Investments,3.1,40.2,6.3,46.3,-65.9,70.4,-51.6,-142.1,-15.1,141.1,Upgrade
Other Investing Activities,-,3.1,-5.9,-9.4,-,-,-,-,24.4,-229,Upgrade
Investing Cash Flow,-13,"1,039.1",270,9,17.4,54.8,-284.2,-155.7,-13.1,-97.8,Upgrade
Dividends Paid,-0.8,-1.9,-7.2,-24.5,-31.8,-27.5,-13.1,-10.9,0,0,Upgrade
Share Issuance / Repurchase,-103.2,"-1,119",-46,-239.8,-71.2,-74.1,-98.6,0,0,0,Upgrade
Debt Issued / Paid,-125.9,-0.4,-175,173.2,-38,33.5,302.1,-124,136.9,-134.6,Upgrade
Other Financing Activities,-3.8,-58.3,150.8,-3.9,73.6,-28.3,-77.5,-95.7,-289.4,103.1,Upgrade
Financing Cash Flow,-233.7,"-1,179.6",-77.4,-95,-67.4,-96.4,112.9,-230.6,-152.5,-31.5,Upgrade
Net Cash Flow,-130.9,-152,283.1,-224.5,145.1,98.1,-33.6,-132.7,-13.6,13.6,Upgrade
Free Cash Flow,100.7,-26.6,64.9,-171.4,173.4,126,124.2,240.6,146.5,134.6,Upgrade
Free Cash Flow Growth,-,-,-,-,37.62%,1.45%,-48.38%,64.23%,8.84%,-,Upgrade
Free Cash Flow Margin,24.14%,-5.08%,12.99%,-28.83%,18.68%,14.20%,18.72%,34.41%,13.87%,14.49%,Upgrade
Free Cash Flow Per Share,2.39,-0.34,0.80,-1.88,1.61,1.14,1.04,2.00,1.22,1.12,Upgrade
