Year,2022,2021,2020,2019,2018,2017,2016
Net Income,-15.58,-10.28,-31.96,-7.55,-9.01,-2.75,-17.87
Other Operating Activities,-26.17,-48.21,59.34,-16.93,-21.45,-21.53,26.6
Operating Cash Flow,-41.76,-58.49,27.39,-24.47,-30.46,-24.28,8.73
Dividends Paid,-13.02,-9.93,-4.99,-12.78,-12.74,-12.79,0
Share Issuance / Repurchase,37.51,0,31.75,-5,0,-24.26,58.06
Debt Issued / Paid,8.71,24.39,-5.57,42.7,44.45,-2.53,0
Financing Cash Flow,33.2,14.45,21.19,24.91,31.71,-39.59,58.06
Net Cash Flow,-8.56,-44.04,48.58,0.44,1.25,-63.87,66.78
Free Cash Flow,-41.76,-58.49,27.39,-24.47,-30.46,-24.28,8.73
Free Cash Flow Margin,-170.92%,-231.60%,119.61%,-90.52%,-109.74%,-81.68%,149.67%
Free Cash Flow Per Share,-6.68,-14.36,12.35,-14.33,-17.16,-12.50,4.07
