Year,2022,2021,2020
Net Income,20.52,19.81,-74.64
Depreciation & Amortization,4.1,5.6,5.99
Share-Based Compensation,2.29,0.52,-0.03
Other Operating Activities,163.16,130.84,113.39
Operating Cash Flow,208.94,175.29,44.71
Operating Cash Flow Growth,19.20%,292.06%,-
Capital Expenditures,-2.33,-2.15,-2.07
Acquisitions,0,-2.37,0
Change in Investments,-191.06,-178.54,-73.36
Other Investing Activities,-,0.04,0.5
Investing Cash Flow,-193.38,-183.01,-74.93
Share Issuance / Repurchase,2.18,1.38,-0.29
Debt Issued / Paid,0,0,-33.83
Other Financing Activities,-,-,90.41
Financing Cash Flow,2.18,1.38,56.3
Net Cash Flow,17.74,-6.35,26.08
Free Cash Flow,206.61,173.13,42.64
Free Cash Flow Growth,19.34%,306.06%,-
Free Cash Flow Margin,32.16%,31.47%,9.43%
Free Cash Flow Per Share,12.47,10.62,2.63
