Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Net Income,-52.76,-44.96,-5.03,-3.9,-3.57,-2.97,-1.14,-1.86,-1.2,-2.84,Upgrade
Depreciation & Amortization,64.82,14.61,4.62,0,0,0,0,0,0,0,Upgrade
Share-Based Compensation,3.01,22.49,0,0.82,1.29,0.02,0.07,0.01,0.03,0.6,Upgrade
Other Operating Activities,-0.81,30.82,0.23,0.57,-0.22,1.58,0.2,1.34,0.76,1.42,Upgrade
Operating Cash Flow,14.26,22.95,-0.19,-2.06,-2.21,-1.36,-0.87,-0.51,-0.41,-0.81,Upgrade
Operating Cash Flow Growth,-37.89%,-,-,-,-,-,-,-,-,-,Upgrade
Capital Expenditures,-32.71,-127.48,-5.51,0,-0.01,-0,-0,-0,0,-0,Upgrade
Acquisitions,0,0,-0.02,0,0,0,0,0,0,0.51,Upgrade
Change in Investments,0.17,-0.77,0,0,0.26,0,0,-0.01,0,0,Upgrade
Other Investing Activities,-,-,-0.01,-,-,-,-,-,-,-,Upgrade
Investing Cash Flow,-32.54,-128.25,-5.54,0,0.25,-0,-0,-0.01,0,0.51,Upgrade
Share Issuance / Repurchase,5.91,78.98,6.22,0.55,5.06,0.99,0,1.04,0,0,Upgrade
Debt Issued / Paid,8.08,30.87,0.01,-0.76,0,0.71,0.63,0,0,0,Upgrade
Other Financing Activities,-,-,-,-0.15,-0.15,-0.16,-0.15,-0.1,-,-,Upgrade
Financing Cash Flow,13.99,109.85,6.23,-0.36,4.91,1.54,0.47,0.95,0,0,Upgrade
Net Cash Flow,-4.52,4.35,0.53,-2.42,2.96,0.19,-0.4,0.42,-0.41,-0.31,Upgrade
Free Cash Flow,-18.45,-104.53,-5.69,-2.06,-2.21,-1.37,-0.88,-0.51,-0.41,-0.82,Upgrade
Free Cash Flow Margin,-21.86%,-238.30%,-127.96%,-,-,-,-,-,-,-,Upgrade
Free Cash Flow Per Share,-1.45,-11.14,-4.81,-11.77,-23.50,-23.87,-17.37,-49.55,-56.96,-112.54,Upgrade
