Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Net Income,5.37,12.63,7.78,12.61,10.03,12.03,7.01,8.29,4.53,0
Other Operating Activities,10.47,-32.48,-20.98,28.6,-22.7,29.45,-34.67,-6.87,-130.09,-27.93
Operating Cash Flow,15.84,-19.85,-13.2,41.2,-12.67,41.48,-27.65,1.42,-125.56,-27.93
Dividends Paid,-11.58,-10.26,-9.86,-10.7,-9.78,-9.46,-9.09,-10.62,-8.29,0
Common Stock Issued,0.46,10.91,0,0,0,0,0,0,41.45,0
Share Repurchases,0,0,0,0,0,0,0,0,-0,117.3
Other Financing Activities,-4.4,17,25.3,-33.3,25.25,-35.75,36.5,2.5,20.54,227.71
Financing Cash Flow,-15.53,17.65,15.44,-44,15.47,-45.21,27.41,-8.12,53.7,110.41
Net Cash Flow,0.31,-2.2,2.24,-2.8,2.8,-3.74,-0.24,-6.7,-71.86,82.48
Free Cash Flow,15.84,-19.85,-13.2,41.2,-12.67,41.48,-27.65,1.42,-125.56,-27.93
Free Cash Flow Margin,201.53%,-11447.29%,-133.97%,285.18%,-107.00%,294.72%,-318.55%,14.23%,-1881.85%,-
Free Cash Flow Per Share,2.21,-2.95,-2.00,6.28,-1.93,6.35,-4.24,0.22,-21.88,-4.87
