Year,2022,2021,2020,2019,2018,2017
Net Income,-20.46,-16.66,-25.03,-19.32,-13.85,-8.24
Depreciation & Amortization,4.11,3.32,2.78,1.44,1.45,0.82
Other Operating Activities,8.99,12.54,27.55,15.1,16.61,16.9
Operating Cash Flow,-7.37,-0.79,5.3,-2.79,4.2,9.48
Operating Cash Flow Growth,-,-,-,-,-55.66%,-
Change in Investments,-4.02,5.13,-2.91,-25.62,2.54,-8.55
Other Investing Activities,-4.74,-6.41,-5.85,-,-,-
Investing Cash Flow,-8.77,-1.28,-8.75,-25.62,2.54,-8.55
Dividends Paid,0,0,0,-92.97,0,0
Share Issuance / Repurchase,0,0,0,140.56,0,0
Debt Issued / Paid,9.16,-5.6,8.44,6.24,11.75,0
Other Financing Activities,-5.65,-6.18,-6.59,-8.57,-9.28,-8.59
Financing Cash Flow,3.51,-11.77,1.85,45.26,2.48,-8.59
Net Cash Flow,-12.62,-13.84,-1.6,16.86,9.22,-7.66
Free Cash Flow,-7.37,-0.79,5.3,-2.79,4.2,9.48
Free Cash Flow Growth,-,-,-,-,-55.66%,-
Free Cash Flow Margin,-4.50%,-0.45%,3.59%,-2.06%,3.39%,8.18%
Free Cash Flow Per Share,-0.49,-0.05,0.36,-0.19,0.28,-
