Year,2022,2021,2020
Net Income,31.8,25.46,18.53
Depreciation & Amortization,1.92,2.23,2.61
Share-Based Compensation,0.57,0.56,0.59
Other Operating Activities,-1.14,4.1,2.7
Operating Cash Flow,33.16,32.35,24.43
Operating Cash Flow Growth,2.48%,32.45%,-
Capital Expenditures,-0.16,-0.32,-0.58
Change in Investments,-271.09,-302.7,-261.33
Other Investing Activities,0.37,0.02,0.06
Investing Cash Flow,-270.87,-303,-261.85
Dividends Paid,-2.8,0,0
Share Issuance / Repurchase,3.05,0.55,1.98
Debt Issued / Paid,7.08,-4,-52
Other Financing Activities,186.19,241.43,331.42
Financing Cash Flow,193.52,237.99,281.39
Net Cash Flow,-44.2,-32.66,43.97
Free Cash Flow,33,32.04,23.84
Free Cash Flow Growth,3.01%,34.36%,-
Free Cash Flow Margin,45.87%,49.65%,45.65%
Free Cash Flow Per Share,2.34,2.35,-
