Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Net Income,199,133.06,74.38,92.74,89.22,48.19,48.84,38.45,27.17,33.1,Upgrade
Depreciation & Amortization,10.94,11.84,11.83,11.26,6.04,5.89,3.35,3.11,3.49,4.69,Upgrade
Share-Based Compensation,8.01,6.02,4.18,4.03,3.45,3.43,2.04,3.15,2.75,4.83,Upgrade
Other Operating Activities,-5.35,9.67,45.13,-15.58,10.1,-11.72,28.29,2.47,-1.92,-13.31,Upgrade
Operating Cash Flow,216.64,160.58,135.51,92.46,108.81,45.79,82.52,47.19,31.49,29.31,Upgrade
Operating Cash Flow Growth,34.92%,18.49%,46.57%,-15.03%,137.62%,-44.51%,74.88%,49.83%,7.46%,-21.58%,Upgrade
Capital Expenditures,-0.23,-2.5,-2.26,-6.34,-3.04,-2.55,-2.5,-2.11,-1.9,-1.34,Upgrade
Acquisitions,0,212.64,62.11,-23.38,0,4.46,0,0,0,-67.56,Upgrade
Change in Investments,"-1,386.6",-239.17,-765.33,-353.6,-330.71,-317.13,-366.91,-346.05,-237.79,234.45,Upgrade
Other Investing Activities,3.05,5.92,2.65,4.8,2.13,2.78,11.35,10.91,26.86,10.54,Upgrade
Investing Cash Flow,"-1,383.78",-23.11,-702.83,-378.52,-331.62,-312.44,-358.06,-337.25,-212.83,176.08,Upgrade
Dividends Paid,-33.6,-26.15,-19.8,-16.57,-10.85,-10.25,-8.21,-5.26,-4.18,-3.95,Upgrade
Share Issuance / Repurchase,-32.92,-60.59,-15.35,-15.53,-21.96,-19.55,-7.09,-1.19,-0.68,1.26,Upgrade
Debt Issued / Paid,20.26,-157.22,-160.53,187.22,-132.72,93.08,-54.61,-3.56,119.55,-56.13,Upgrade
Other Financing Activities,-516.92,"1,590.49","1,133.44",101.64,431.57,157.89,450.1,293.53,-43.24,-52.37,Upgrade
Financing Cash Flow,-563.19,"1,346.53",937.76,256.77,266.04,221.17,380.18,283.52,71.46,-111.19,Upgrade
Net Cash Flow,"-1,730.33","1,483.99",370.45,-29.3,43.23,-45.48,104.65,-6.54,-109.87,94.2,Upgrade
Free Cash Flow,216.41,158.08,133.26,86.12,105.77,43.25,80.03,45.08,29.59,27.97,Upgrade
Free Cash Flow Growth,36.90%,18.63%,54.73%,-18.58%,144.59%,-45.96%,77.53%,52.32%,5.80%,-14.46%,Upgrade
Free Cash Flow Margin,40.55%,38.13%,51.43%,30.59%,47.30%,21.45%,49.72%,32.05%,23.03%,19.88%,Upgrade
Free Cash Flow Per Share,5.81,4.12,5.08,3.25,4.58,1.88,4.00,2.25,1.50,1.45,Upgrade
