Year,2022,2021,2020,2019,2018
Net Income,1.09,1.41,1.75,0.09,-0.21
Depreciation & Amortization,1.01,1.09,1.12,1.14,1.04
Share-Based Compensation,0.18,0.05,0.05,0.07,0.07
Other Operating Activities,0.67,0.85,-1.92,0.08,-1.36
Operating Cash Flow,2.95,3.4,1,1.37,-0.46
Operating Cash Flow Growth,-13.37%,240.88%,-26.89%,-,-
Capital Expenditures,-0.46,0.13,-0.23,-0.71,-0.94
Acquisitions,0,0,0,0,8.8
Change in Investments,-28.05,-12.89,-9.53,-25.13,20.46
Other Investing Activities,0.08,0.11,-0.64,0.06,0.16
Investing Cash Flow,-28.43,-12.66,-10.4,-25.79,28.49
Share Issuance / Repurchase,-1.92,12.02,-0.04,-0.04,-0.01
Debt Issued / Paid,8.77,-11.1,-3.32,5.88,-9.51
Other Financing Activities,5.63,2.5,26.15,22.9,-15.64
Financing Cash Flow,12.49,3.42,22.78,28.73,-25.17
Net Cash Flow,-12.99,-5.83,13.38,4.31,2.86
Free Cash Flow,2.49,3.53,0.77,0.65,-1.4
Free Cash Flow Growth,-29.61%,360.50%,17.82%,-,-
Free Cash Flow Margin,19.34%,25.04%,5.49%,5.09%,-11.73%
Free Cash Flow Per Share,1.05,1.44,0.52,-,-
