Year,2022,2021,2020,2019,2018,2017
Net Income,61.6,69.41,12.6,28.47,19.59,5.85
Depreciation & Amortization,5.31,5.26,5.25,5.32,4.68,3.06
Share-Based Compensation,4.42,4.58,4.36,4.73,4.6,2.38
Other Operating Activities,9.03,9.11,58.24,35.31,16.98,11.54
Operating Cash Flow,80.35,88.37,80.45,73.83,45.85,22.82
Operating Cash Flow Growth,-9.07%,9.84%,8.97%,61.03%,100.92%,-
Capital Expenditures,-2.42,-0.6,-5.97,2.47,-40.97,-16.5
Acquisitions,125.75,0,0,0,0,0
Change in Investments,-743.51,75.7,-539.66,-864.35,"-1,043.48",-810.63
Other Investing Activities,0.24,4.11,1.05,-,-,-24.95
Investing Cash Flow,-619.95,79.2,-544.59,-861.87,"-1,084.45",-852.07
Share Issuance / Repurchase,-35.41,-22.11,-5.91,88.72,193.19,55.99
Debt Issued / Paid,-24.08,-59.58,-78.26,-14.73,30.55,141.13
Other Financing Activities,416.5,-11.97,769.79,684.83,900.57,606.98
Financing Cash Flow,357,-93.66,685.63,758.82,"1,124.32",804.1
Net Cash Flow,-182.59,73.92,221.49,-29.22,85.72,-25.15
Free Cash Flow,77.93,87.77,74.48,76.3,4.88,6.32
Free Cash Flow Growth,-11.21%,17.84%,-2.39%,1463.61%,-22.82%,-
Free Cash Flow Margin,39.10%,47.10%,64.61%,63.45%,4.74%,9.51%
Free Cash Flow Per Share,1.60,1.72,1.43,1.47,0.10,-
