Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Net Income,3.5,1.47,0.6,0.58,0.13,-0.83,-0.84,-0.49,-0.03,-0.03,Upgrade
Depreciation & Amortization,0,0,0,0,0,0.38,0.38,0.22,0,0,Upgrade
Share-Based Compensation,1.18,0.68,0.36,0.07,0.13,0.16,0.2,0.54,0,0,Upgrade
Other Operating Activities,-7.69,-5.4,-0.96,-0.62,-0.31,0.27,0.23,-0.35,0.01,0.01,Upgrade
Operating Cash Flow,-3.01,-3.25,-0,0.03,-0.05,-0.01,-0.02,-0.08,-0.02,-0.02,Upgrade
Acquisitions,-0.32,0.24,0,0,0,0,0,0,0,0,Upgrade
Investing Cash Flow,-0.32,0.24,0,0,0,0,0,0,0,0,Upgrade
Share Issuance / Repurchase,0.63,1.2,0,0.01,0,0,0,0,0,0,Upgrade
Debt Issued / Paid,0.7,4.27,-0,-0.02,0.05,0.02,0.02,0.08,0.02,0.02,Upgrade
Financing Cash Flow,1.33,5.47,-0,-0.01,0.05,0.02,0.02,0.08,0.02,0.02,Upgrade
Net Cash Flow,-2,2.46,-0.01,0.02,-0,0,-0,0,-0,0,Upgrade
Free Cash Flow,-3.01,-3.25,-0,0.03,-0.05,-0.01,-0.02,-0.08,-0.02,-0.02,Upgrade
Free Cash Flow Margin,-54.86%,-68.86%,-0.21%,3.01%,-45.12%,-65.92%,-48.42%,-86.26%,-430.69%,-207.83%,Upgrade
Free Cash Flow Per Share,-1.13,-2.60,-0.01,0.08,-0.16,-0.06,-0.09,-0.32,-0.08,-0.07,Upgrade
