Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2002
Net Income,55.6,65.76,86.6,92.69,71.63,46.23,77.87,70.46,53.67,43.5,Upgrade
Depreciation & Amortization,1.31,1.02,1.01,0.94,1,0.98,1.18,1.35,1.3,1.3,Upgrade
Share-Based Compensation,2.48,2.32,3.3,2.35,2.07,2.02,1.6,1.22,1.52,1.41,Upgrade
Other Operating Activities,-31.2,-31.11,-27.51,-17.16,23.58,81.58,33.56,19.83,84.2,82.96,Upgrade
Operating Cash Flow,28.19,37.98,63.4,78.82,98.27,130.81,114.21,92.86,140.68,129.16,Upgrade
Operating Cash Flow Growth,-25.76%,-40.09%,-19.57%,-19.79%,-24.88%,14.53%,23.00%,-33.99%,8.92%,59.36%,Upgrade
Capital Expenditures,-2.09,-1.27,-0.92,-1.02,-1.13,-0.48,-1.64,-0.95,-0.99,-1.14,Upgrade
Change in Investments,77.52,72.23,44.29,12.71,-27.93,-51.06,-48.84,-48.87,-140.26,-86.08,Upgrade
Other Investing Activities,-,-,-,-,-,-,-,-,-,-10,Upgrade
Investing Cash Flow,75.43,70.96,43.37,11.69,-29.06,-51.54,-50.48,-49.82,-141.25,-97.22,Upgrade
Dividends Paid,-100.43,-99.93,-88.78,-87.02,-84.49,-82.65,-76.11,-68.56,-37.07,-5.91,Upgrade
Share Issuance / Repurchase,-12.39,0,0,0.02,0.07,0,0.84,1.84,2.67,2.34,Upgrade
Debt Issued / Paid,-0.06,-0.04,-0.05,-0.05,0,0,0,0,0,0,Upgrade
Other Financing Activities,-,-,-,-,-,-,1,2.2,2.84,2.02,Upgrade
Financing Cash Flow,-112.87,-99.97,-88.83,-87.04,-84.42,-82.65,-74.28,-64.51,-31.55,-1.54,Upgrade
Net Cash Flow,-9.25,8.97,17.94,3.47,-15.22,-3.38,-10.55,-21.48,-32.12,30.4,Upgrade
Free Cash Flow,26.11,36.71,62.48,77.81,97.14,130.33,112.57,91.91,139.7,128.02,Upgrade
Free Cash Flow Growth,-28.88%,-41.25%,-19.70%,-19.90%,-25.47%,15.77%,22.49%,-34.21%,9.12%,60.32%,Upgrade
Free Cash Flow Margin,8.86%,11.62%,18.40%,21.01%,25.72%,34.74%,28.38%,22.92%,34.58%,35.93%,Upgrade
Free Cash Flow Per Share,1.36,1.90,3.24,4.04,5.06,6.80,5.89,4.85,7.49,6.97,Upgrade
