Year,2022,2021,2020,2019,2018,2017,2016
Net Income,34.99,40.1,16.18,24.11,24.3,16.4,14
Depreciation & Amortization,1.6,1.38,1.49,1.53,1.27,1.12,1.03
Share-Based Compensation,0.54,0.45,0.72,0.71,0.65,0.7,0.72
Other Operating Activities,20.14,-43.55,-1.28,3.77,4.47,2.99,24.45
Operating Cash Flow,57.27,-1.62,17.09,30.12,30.68,21.21,40.2
Operating Cash Flow Growth,-,-,-43.25%,-1.83%,44.66%,-47.23%,-
Capital Expenditures,-5.45,-0.43,-1.78,-0.71,-1.14,-1.28,-1.98
Change in Investments,-351.21,-145.54,-131.03,-61.19,-166.98,-214.23,-211.97
Other Investing Activities,-,-29.25,-,-,-,-,-
Investing Cash Flow,-356.67,-175.22,-132.82,-61.9,-168.12,-215.51,-213.95
Dividends Paid,-8.95,-6.66,-6.15,-3.96,-1.76,-1.61,-1.38
Share Issuance / Repurchase,-5.89,-9.6,-5.79,-5.85,45.35,0.13,15.76
Debt Issued / Paid,10,-70,60,-10,-10,40,0
Other Financing Activities,247.98,272.28,115.54,35.55,192.46,159.48,152.37
Financing Cash Flow,243.14,186.03,163.6,15.74,226.05,198,166.76
Net Cash Flow,-56.25,9.19,47.87,-16.05,88.62,3.71,-7
Free Cash Flow,51.81,-2.05,15.31,29.41,29.54,19.93,38.22
Free Cash Flow Growth,-,-,-47.95%,-0.45%,48.24%,-47.85%,-
Free Cash Flow Margin,51.54%,-2.04%,23.66%,38.36%,39.41%,29.64%,67.14%
Free Cash Flow Per Share,3.50,-0.14,0.99,1.85,2.05,1.49,3.05
