Year,2022,2021,2020,2019,2018,2017
Net Income,58.24,58.61,45.35,29.22,29.29,23.64
Depreciation & Amortization,6.97,6.44,6.58,5.23,5.19,5.28
Share-Based Compensation,2.75,1.64,1.27,0.85,0,0
Other Operating Activities,55.63,29.58,-47.57,-4.81,-7.56,6.41
Operating Cash Flow,123.59,96.27,5.63,30.48,26.92,35.32
Operating Cash Flow Growth,28.38%,1610.88%,-81.54%,13.24%,-23.79%,-
Capital Expenditures,-3.99,-1.46,-3.09,-3.79,-3.01,-8.85
Acquisitions,0,0,-0.69,78.17,0,0
Change in Investments,-406.92,-159.68,-155.35,-291.71,-183.91,-143.9
Other Investing Activities,2.05,1.3,2.9,3.84,2.82,4.67
Investing Cash Flow,-408.86,-159.84,-156.23,-213.49,-184.09,-148.08
Dividends Paid,-8.01,-5.39,-2.53,-1.08,-30.05,-7.87
Share Issuance / Repurchase,-22.7,-9.23,-0.29,51.39,0,0
Debt Issued / Paid,0,-101.55,18.46,11.58,15.27,-11.37
Other Financing Activities,64.04,366.25,277.18,33.23,123.37,63.16
Financing Cash Flow,33.33,250.08,292.81,95.12,108.6,43.92
Net Cash Flow,-251.94,186.51,142.21,-87.89,-48.57,-68.84
Free Cash Flow,119.6,94.81,2.54,26.7,23.91,26.47
Free Cash Flow Growth,26.15%,3634.11%,-90.49%,11.64%,-9.67%,-
Free Cash Flow Margin,55.05%,42.87%,1.28%,16.85%,16.98%,20.07%
Free Cash Flow Per Share,7.04,5.33,0.14,1.48,1.37,-
