Year,2022,2021,2020,2019,2018,2017,2016,2015
Net Income,15.54,83.63,54.67,29.28,8.12,9.06,11.77,-2.16
Other Operating Activities,12.41,-241.29,-116.47,-232.27,-172.67,-97.44,-90.19,-128.15
Operating Cash Flow,27.95,-157.65,-61.8,-202.99,-164.55,-88.39,-78.42,-130.3
Dividends Paid,-55.29,-47.73,-42.63,-24.54,-13.48,-8.25,-5.37,-0.15
Share Issuance / Repurchase,0,52.63,42.09,146,95,45,45,81
Debt Issued / Paid,21.1,161.41,66.26,87.5,86,55.86,39.26,54.37
Other Financing Activities,-0.22,0.01,-2.5,-2.97,-1.82,-0.1,-0.1,-0.16
Financing Cash Flow,-34.41,166.32,63.22,206,165.7,92.5,78.78,135.07
Net Cash Flow,-6.46,8.68,1.42,3.06,1.1,4.15,0.35,4.77
Free Cash Flow,27.95,-157.65,-61.8,-202.99,-164.55,-88.39,-78.42,-130.3
Free Cash Flow Margin,23.95%,-167.74%,-80.14%,-379.58%,-494.23%,-396.49%,-564.70%,-3945.31%
Free Cash Flow Per Share,0.91,-5.54,-2.23,-11.70,-15.35,-11.69,-15.11,-79.64
