Year,2022,2021,2020,2019,2018,2017,2016,2015
Net Income,63.31,112.92,-1.72,51.33,45.83,43.06,23.58,15.05
Depreciation & Amortization,5.88,7.27,9.39,7.09,8.54,9.04,9.13,8.38
Share-Based Compensation,5.79,4.78,2.31,6.37,0.17,0,0,0
Other Operating Activities,-124.14,-57.54,47.28,13.6,7.62,21.19,42.56,40.21
Operating Cash Flow,-49.16,67.43,57.25,78.39,62.16,73.28,75.27,63.63
Operating Cash Flow Growth,-,17.79%,-26.97%,26.11%,-15.18%,-2.64%,18.28%,-
Capital Expenditures,-10.63,125.81,7.9,-9.09,-9.13,22.13,-0.38,-9.89
Acquisitions,0,-1.04,0,-14.39,7.5,0,0,0
Change in Investments,"-1,386.62",260.55,278.44,229.32,208.14,15.44,-261.85,-263
Other Investing Activities,-,-,-,-,-,-30,-60,-100
Investing Cash Flow,"-1,397.25",385.32,286.34,205.84,206.51,7.57,-322.23,-372.89
Dividends Paid,-12.23,0,0,0,-40,0,0,0
Share Issuance / Repurchase,-73.12,-48.04,-70.3,-0.94,0,0,0,0
Debt Issued / Paid,134.82,-244.12,-154.73,42.25,-6.12,192,185.98,14.11
Other Financing Activities,"1,413.33",-100.77,-25.5,-289.93,-290.29,-254.39,57.69,244.59
Financing Cash Flow,"1,462.8",-392.93,-250.52,-248.62,-336.41,-62.39,243.67,258.71
Net Cash Flow,16.39,59.82,93.06,35.61,-67.74,18.46,-3.29,-50.55
Free Cash Flow,-59.79,193.24,65.15,69.3,53.03,95.41,74.89,53.74
Free Cash Flow Growth,-,196.61%,-5.99%,30.69%,-44.42%,27.40%,39.35%,-
Free Cash Flow Margin,-18.68%,56.46%,37.36%,25.35%,19.46%,33.52%,32.27%,24.90%
Free Cash Flow Per Share,-1.77,5.15,1.55,1.60,1.25,2.25,1.76,1.26
