Year,2022,2021,2020,2019,2018,2017,2016,2015
Net Income,51.43,81.55,45.53,50.52,47.29,27.57,27.21,24.14
Depreciation & Amortization,14.25,7.55,7.64,5.44,4.29,4.43,4.43,4.95
Share-Based Compensation,8.65,3.36,3.28,2.4,1.6,0.33,0.04,0.01
Other Operating Activities,34.73,14.92,4.62,-2.27,-3.86,3.26,4.37,3.74
Operating Cash Flow,109.07,107.38,61.06,56.09,49.32,35.59,36.04,32.83
Operating Cash Flow Growth,1.57%,75.85%,8.87%,13.72%,38.58%,-1.25%,9.77%,-
Capital Expenditures,-1.49,-1.19,-3.16,-2.49,-1.29,1.99,1.49,-2.79
Acquisitions,370.45,0,0,0,0,0,0,-5.94
Change in Investments,-295.2,-753.63,-957.95,-192.16,-146.07,-174.99,-135.08,-65.8
Other Investing Activities,-,-,-,4.9,-0.36,-12.43,2.02,-14.14
Investing Cash Flow,73.76,-754.82,-961.1,-189.74,-147.72,-185.43,-131.57,-88.66
Dividends Paid,-15.38,-9.7,-8.17,-8.76,-4.98,-4.41,-4.4,-4.49
Share Issuance / Repurchase,-23.53,-1.85,-16.01,0.12,0.29,71.88,-7.2,-4.26
Debt Issued / Paid,-26,-65.57,80,46.42,-4.18,-28.5,-3.07,24.87
Other Financing Activities,-503.72,"1,059.3",920.74,85.87,163.14,54.97,57.39,-16.14
Financing Cash Flow,-568.63,982.19,976.56,123.64,154.27,93.94,42.73,-0.02
Net Cash Flow,-385.8,334.74,76.52,-10.01,55.87,-55.9,-52.8,-55.85
Free Cash Flow,107.58,106.19,57.91,53.6,48.03,37.58,37.53,30.04
Free Cash Flow Growth,1.31%,83.37%,8.03%,11.61%,27.82%,0.13%,24.91%,-
Free Cash Flow Margin,41.60%,44.35%,31.56%,35.21%,34.14%,30.72%,33.29%,28.37%
Free Cash Flow Per Share,2.06,4.32,2.33,2.06,1.85,1.50,1.53,-
