Year,2022,2021,2020,2019,2018,2017
Net Income,24.52,20.02,15.08,13.95,9.21,3.88
Depreciation & Amortization,2.58,2.37,2.14,1.83,1.67,1.3
Share-Based Compensation,2.52,1.89,1.53,1.04,0.88,0.52
Other Operating Activities,1.77,2.7,-2.37,-0.13,0.83,1.03
Operating Cash Flow,33.54,29.12,17.02,16.69,12.59,6.73
Operating Cash Flow Growth,15.18%,71.16%,1.94%,32.57%,87.10%,-
Capital Expenditures,-7.78,-4.22,-1.23,-0.91,-1.34,-2.48
Change in Investments,-220.96,-15.03,-312.56,-150.5,-272.07,-208.02
Other Investing Activities,-,-41.26,-,-10,-,-3
Investing Cash Flow,-228.74,-60.52,-313.79,-161.41,-273.42,-213.5
Dividends Paid,-1.88,0,0,0,0,0
Share Issuance / Repurchase,-6.92,0,-13.8,0,42.71,17.82
Debt Issued / Paid,142.62,14.24,-40,0,-13.78,14.29
Other Financing Activities,98.77,-28.44,393.25,151.49,252.48,194.09
Financing Cash Flow,232.59,-14.2,339.45,151.49,281.41,226.19
Net Cash Flow,37.4,-45.59,42.68,6.77,20.58,19.42
Free Cash Flow,25.76,24.9,15.79,15.78,11.25,4.25
Free Cash Flow Growth,3.45%,57.75%,0.05%,40.30%,164.55%,-
Free Cash Flow Margin,35.56%,40.95%,31.69%,36.97%,35.95%,19.43%
Free Cash Flow Per Share,3.46,3.28,2.10,1.91,1.69,0.89
