Year,2022,2021,2020
Net Income,5.6,0.29,4.19
Depreciation & Amortization,1.11,0.48,0.31
Share-Based Compensation,0.66,0.29,0
Other Operating Activities,-5.02,3.71,-1.37
Operating Cash Flow,2.34,4.77,3.13
Operating Cash Flow Growth,-50.90%,52.62%,-
Capital Expenditures,-4.6,-0.13,-0.11
Acquisitions,0,39.89,0
Change in Investments,-218.04,-39.99,-36.71
Other Investing Activities,0.04,-4.81,-2
Investing Cash Flow,-222.59,-5.05,-38.82
Dividends Paid,-3.33,-1.46,-1.43
Share Issuance / Repurchase,34.77,0.12,0
Debt Issued / Paid,21.12,-14.34,-1.64
Other Financing Activities,175.11,5.38,44.22
Financing Cash Flow,227.67,-10.3,41.15
Net Cash Flow,7.42,-10.57,5.45
Free Cash Flow,-2.25,4.65,3.02
Free Cash Flow Growth,-,53.86%,-
Free Cash Flow Margin,-6.50%,26.40%,22.97%
Free Cash Flow Per Share,-0.20,0.68,0.53
