Year,2022,2021,2020,2019,2018,2017,2016,2015
Net Income,2.23,4.05,5.77,0.88,0.77,0.57,1.03,0.63
Depreciation & Amortization,1.5,1.57,1.21,0.38,0.24,0.2,0.19,0.23
Share-Based Compensation,0.58,0.41,0.37,0.37,0.09,0.04,0,0
Other Operating Activities,26.18,36.87,-44.78,-20,-0.44,11.93,-7.4,1.06
Operating Cash Flow,30.49,42.89,-37.43,-18.37,0.66,12.74,-6.19,1.91
Operating Cash Flow Growth,-28.92%,-,-,-,-94.83%,-,-,-
Capital Expenditures,-0.12,-1.03,-0.8,-0.76,-0.28,-0.38,-0.2,-0.12
Change in Investments,-189.72,-31.21,-61.67,-19.48,-92.92,-33.88,-6.35,-1.89
Other Investing Activities,-3.12,-,-,-,-1.86,-,-,-
Investing Cash Flow,-192.96,-32.24,-62.47,-20.24,-95.05,-34.26,-6.55,-2
Dividends Paid,0,0,0,0,-1.09,0,0,0
Share Issuance / Repurchase,-0.37,-0.39,-1.09,-0,0,17.96,0,0
Debt Issued / Paid,-3.06,-47.26,47.87,4.37,16.73,-12,13.67,-3.16
Other Financing Activities,61.39,-256.81,447.08,39.73,64.92,28.71,-1.11,3.54
Financing Cash Flow,57.96,-304.46,493.86,44.1,80.56,34.67,12.57,0.38
Net Cash Flow,-104.51,-293.8,393.97,5.49,-13.83,13.15,-0.17,0.29
Free Cash Flow,30.37,41.86,-38.22,-19.13,0.38,12.36,-6.39,1.79
Free Cash Flow Growth,-27.44%,-,-,-,-96.90%,-,-,-
Free Cash Flow Margin,120.62%,152.97%,-144.55%,-162.03%,3.67%,129.00%,-64.51%,19.71%
Free Cash Flow Per Share,13.57,19.24,-17.20,-8.47,0.18,5.67,-2.93,-
