Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2002
Net Income,609,904,178,343,119,817,-277,-615,"-1,244",560,Upgrade
Share-Based Compensation,37,40,39,26,35,31,32,16,28,39,Upgrade
Other Operating Activities,403,-507,"1,743","1,710","1,479","1,706","2,117","2,190","3,654",800,Upgrade
Operating Cash Flow,"1,049",437,"1,960","2,079","1,633","2,554","1,872","1,591","2,438","1,399",Upgrade
Operating Cash Flow Growth,140.05%,-77.70%,-5.72%,27.31%,-36.06%,36.43%,17.66%,-34.74%,74.27%,45.43%,Upgrade
Acquisitions,0,270,0,"1,398",0,-5,39,273,0,365,Upgrade
Change in Investments,733,693,-931,-60,-314,1,"-2,005",-826,"-1,762","-1,095",Upgrade
Other Investing Activities,-,-67,-222,-37,-308,-755,-154,149,-74,150,Upgrade
Investing Cash Flow,733,896,"-1,153","1,301",-622,-759,"-2,120",-404,"-1,836",-580,Upgrade
Share Issuance / Repurchase,-64,0,0,0,0,0,0,0,0,0,Upgrade
Debt Issued / Paid,-297,"-1,541",-67,-446,-199,-34,"-2,044",-67,-551,292,Upgrade
Other Financing Activities,"-1,193",-878,"-1,440","-1,771","-1,422","-1,734",-907,25,756,-441,Upgrade
Financing Cash Flow,"-1,554","-2,419","-1,507","-2,217","-1,621","-1,768","-2,951",-42,205,-149,Upgrade
Net Cash Flow,228,"-1,085",-685,"1,164",-698,91,"-3,209","1,075",704,561,Upgrade
Free Cash Flow,"1,049",437,"1,960","2,079","1,633","2,554","1,872","1,591","2,438","1,399",Upgrade
Free Cash Flow Growth,140.05%,-77.70%,-5.72%,27.31%,-36.06%,36.43%,17.66%,-34.74%,74.27%,45.43%,Upgrade
Free Cash Flow Margin,13.97%,5.58%,23.66%,26.98%,20.67%,33.99%,22.37%,18.61%,27.93%,16.22%,Upgrade
Free Cash Flow Per Share,2.08,0.86,3.88,4.13,3.26,5.12,3.76,3.20,4.91,2.83,Upgrade
