Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2005
Net Income,251.44,207.67,169.51,149.18,136.88,93.03,81.43,63.26,51.95,41.2,Upgrade
Depreciation & Amortization,4.12,4.39,4.1,3.95,3.65,2.85,3.06,2.6,1.84,1.84,Upgrade
Share-Based Compensation,3.21,1.86,1.33,1.1,0.85,1.17,1.2,1.27,3.68,0.94,Upgrade
Other Operating Activities,13.79,52.35,16.29,9.98,26.86,21.36,12.79,8.87,7.19,29.8,Upgrade
Operating Cash Flow,272.63,266.33,191.29,164.28,168.3,118.46,98.52,76.27,65.09,74.2,Upgrade
Operating Cash Flow Growth,2.36%,39.23%,16.44%,-2.39%,42.07%,20.24%,29.18%,17.18%,-12.28%,80.16%,Upgrade
Capital Expenditures,-3.65,-9.45,-2.31,-2.36,-2.3,-21.15,-22.21,-5.54,-1.31,-1.35,Upgrade
Acquisitions,0,0,0,0,0,0,0,-12.38,0,0,Upgrade
Change in Investments,"-2,642.91","-1,554.3","-1,350.94",-912.43,-755.99,"-1,012.63",-820.78,-734.87,-539.32,-568.01,Upgrade
Other Investing Activities,4.34,2.65,-57.83,-73.56,3.82,-8.47,-18.66,3.31,-8.46,-2.34,Upgrade
Investing Cash Flow,"-2,642.22","-1,561.09","-1,411.07",-988.35,-754.47,"-1,042.25",-861.65,-749.48,-549.09,-571.69,Upgrade
Dividends Paid,-37.47,-32.52,-28.23,-24.05,-20.19,-10.04,-7.86,-5.88,-3.61,-3.68,Upgrade
Share Issuance / Repurchase,1.23,3.53,3.49,2.12,2.34,1.91,3.19,3.8,58.39,13.62,Upgrade
Debt Issued / Paid,-92.98,860.23,380.84,182.02,-13.27,-44.6,3.18,120.32,89.94,57.32,Upgrade
Other Financing Activities,-907.24,"2,474.2","2,444.5",612.69,821.61,670.11,"1,196.38",609.75,378.34,507.92,Upgrade
Financing Cash Flow,"-1,036.45","3,305.45","2,800.59",772.78,790.48,617.37,"1,194.89",727.98,523.06,575.17,Upgrade
Net Cash Flow,"-3,406.04","2,010.69","1,580.81",-51.3,204.31,-306.41,431.76,54.77,39.05,77.67,Upgrade
Free Cash Flow,268.98,256.88,188.99,161.92,166,97.31,76.32,70.73,63.78,72.85,Upgrade
Free Cash Flow Growth,4.71%,35.93%,16.72%,-2.46%,70.59%,27.51%,7.90%,10.90%,-12.45%,104.01%,Upgrade
Free Cash Flow Margin,57.64%,66.47%,58.02%,56.03%,63.67%,43.92%,40.02%,43.39%,48.57%,66.55%,Upgrade
Free Cash Flow Per Share,4.95,4.74,3.50,3.02,3.12,1.84,1.45,1.36,1.29,1.72,Upgrade
