Year,2022,2021,2020,2019
Net Income,27.07,18.57,12.11,5.6
Depreciation & Amortization,1.53,2.15,2.22,1.29
Share-Based Compensation,0.38,1.45,-0.47,0.53
Other Operating Activities,9.89,7.54,-2.4,3.6
Operating Cash Flow,38.87,29.7,11.45,11.02
Operating Cash Flow Growth,30.85%,159.32%,3.93%,-
Capital Expenditures,-2.6,-4.51,-6.27,-1.39
Acquisitions,0,0,0,-4.95
Change in Investments,-377.67,-264.81,-254.29,46.68
Other Investing Activities,-6.9,8.57,0.49,-3.95
Investing Cash Flow,-387.16,-260.76,-260.07,36.39
Dividends Paid,-3.17,-2.89,-1.84,-2.37
Share Issuance / Repurchase,-7.14,21.12,0.09,0
Debt Issued / Paid,78.85,-4.92,30.9,0.48
Other Financing Activities,164.29,416.79,189.15,-16.71
Financing Cash Flow,232.84,430.1,218.29,-18.6
Net Cash Flow,-115.46,199.05,-30.33,28.81
Free Cash Flow,36.27,25.2,5.18,9.63
Free Cash Flow Growth,43.94%,386.22%,-46.17%,-
Free Cash Flow Margin,48.74%,41.49%,11.07%,26.85%
Free Cash Flow Per Share,4.17,2.80,0.59,-
