Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2011
Net Income,831.35,681.78,413.04,555.71,467.36,379.75,222.61,157.33,88.5,65.41,Upgrade
Depreciation & Amortization,3.02,3.38,3.33,3.77,3.4,3.92,4.06,3.22,2.46,2.25,Upgrade
Share-Based Compensation,18.38,20.84,18.46,16.59,15.07,18.69,16.88,13.63,10.71,3.6,Upgrade
Other Operating Activities,-263.94,3.25,293.1,13.78,139.48,-33.79,31.01,52.38,52.03,47.75,Upgrade
Operating Cash Flow,588.82,709.26,727.93,589.85,625.32,368.57,274.56,226.56,153.7,119.01,Upgrade
Operating Cash Flow Growth,-16.98%,-2.57%,23.41%,-5.67%,69.66%,34.24%,21.19%,47.40%,29.15%,224.81%,Upgrade
Capital Expenditures,-3.98,-2.5,-2.45,-3.41,-4.05,-2.78,-3.16,-4.96,-3.89,-2.67,Upgrade
Change in Investments,-320.27,-513.27,"-1,134.96",-491.88,-511.99,-687.36,-362.15,-215.75,-723.81,-94.09,Upgrade
Other Investing Activities,-74.62,-67.4,-17.01,-49.79,-30.86,-,-,-,-,-,Upgrade
Investing Cash Flow,-398.87,-583.17,"-1,154.42",-545.08,-546.91,-690.14,-365.32,-220.71,-727.7,-96.76,Upgrade
Dividends Paid,-92.13,-77.72,-69.41,-29.35,0,0,0,0,0,0,Upgrade
Share Issuance / Repurchase,-97.91,-163.86,433.61,-9.01,-31.41,190.25,-4.02,-5.71,123.94,438.09,Upgrade
Debt Issued / Paid,-0.15,94.15,93.77,-0.02,-25.58,147.31,97.56,0,-5,-5,Upgrade
Other Financing Activities,-,-,-,-,-,-,0.14,0.05,1.81,-,Upgrade
Financing Cash Flow,-190.2,-147.43,457.97,-38.37,-56.99,337.56,93.68,-5.65,120.75,433.09,Upgrade
Net Cash Flow,-0.25,-21.34,31.48,6.4,21.42,15.99,2.93,0.2,-453.24,455.34,Upgrade
Free Cash Flow,584.84,706.76,725.49,586.44,621.27,365.79,271.4,221.6,149.81,116.34,Upgrade
Free Cash Flow Growth,-17.25%,-2.58%,23.71%,-5.61%,69.84%,34.78%,22.47%,47.92%,28.77%,242.79%,Upgrade
Free Cash Flow Margin,58.44%,68.72%,75.95%,67.60%,86.36%,63.45%,59.22%,62.72%,62.56%,88.54%,Upgrade
Free Cash Flow Per Share,5.46,6.36,6.84,6.00,6.38,3.92,2.98,2.45,1.78,8.28,Upgrade
