Year,2022,2021,2020,2019,2018
Net Income,-297.5,124.86,79.48,72.58,34.9
Depreciation & Amortization,28.79,19.97,7.99,4.7,3.47
Share-Based Compensation,7.05,5.17,9.5,0.09,0.07
Other Operating Activities,-76.65,-265.43,-158.75,-77.25,-43.28
Operating Cash Flow,-338.31,-115.44,-61.78,0.11,-4.85
Capital Expenditures,-34.65,-22.99,-15.55,-8.64,-6.02
Acquisitions,-6.93,-41.03,-35.82,0,0
Change in Investments,-1,0,0,0,0
Investing Cash Flow,-42.58,-64.02,-51.37,-8.64,-6.02
Dividends Paid,0,0,-275,-1.96,-1.88
Share Issuance / Repurchase,0,0,340.2,-0.03,0.12
Debt Issued / Paid,237.9,143.5,282.74,5.83,13.24
Other Financing Activities,-2.47,-46.46,133.5,4.3,-
Financing Cash Flow,235.43,97.04,481.45,8.14,11.48
Net Cash Flow,-145.46,-82.42,368.3,-0.39,0.62
Free Cash Flow,-372.96,-138.43,-77.33,-8.52,-10.87
Free Cash Flow Margin,-48.81%,-14.89%,-14.61%,-2.53%,-4.65%
Free Cash Flow Per Share,-2.27,-0.85,-0.79,-0.10,-0.13
