Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Net Income,2.59,-2.31,-24.66,-14.54,15.63,23.58,-9.34,15.43,16.18,8
Other Operating Activities,18.63,22.52,14.11,0.58,-43.77,21.73,50.67,-63.55,-80,-167.61
Operating Cash Flow,21.21,20.21,-10.55,-13.96,-28.15,45.31,41.32,-48.12,-63.82,-159.61
Operating Cash Flow Growth,4.97%,-,-,-,-,9.66%,-,-,-,-
Dividends Paid,-8.51,-9.87,-13.52,-13.55,-13.67,-17.77,-24.79,-18.57,-2.48,0
Share Issuance / Repurchase,3.14,0,2.31,-0.36,-0.39,0,0,0,111.55,0
Debt Issued / Paid,-19.3,-18.03,15.63,45.84,17.2,-30.74,-19.64,63.72,7.91,76.5
Other Financing Activities,-,-,0.12,-,0.06,-,-,-0.19,-28.47,83.11
Financing Cash Flow,-24.66,-27.9,4.55,31.93,3.21,-48.51,-44.42,44.96,88.52,159.61
Net Cash Flow,-3.45,-7.69,-6,17.97,-24.94,-3.19,-3.1,-3.16,24.7,0
Free Cash Flow,21.21,20.21,-10.55,-13.96,-28.15,45.31,41.32,-48.12,-63.82,-159.61
Free Cash Flow Growth,4.97%,-,-,-,-,9.66%,-,-,-,-
Free Cash Flow Margin,86.83%,75.72%,-30.62%,-40.59%,-69.00%,146.11%,116.14%,-130.35%,-301.97%,-2356.67%
Free Cash Flow Per Share,1.48,1.45,-0.77,-1.02,-2.06,3.31,3.02,-3.52,-4.67,-
