Year,2022,2021,2020,2019,2018,2017,2016,2015,2014
Net Income,45.59,58.52,44.79,18.27,11.39,10.38,5.93,5.77,2.57
Depreciation & Amortization,4.82,5.62,5.68,6.74,3.95,2.98,2.64,2.78,2.71
Share-Based Compensation,6.58,6.95,5.78,7.5,5.69,3.24,0.95,0,0
Other Operating Activities,11.91,153.21,-83.2,-68.64,40.13,27.28,-13.84,20.81,13.38
Operating Cash Flow,68.9,224.3,-26.95,-36.13,61.17,43.88,-4.32,29.36,18.67
Operating Cash Flow Growth,-69.28%,-,-,-,39.41%,-,-,57.28%,-
Capital Expenditures,-2.27,-6.46,-5.74,-4.43,-5.55,-3.19,-2.14,-1.49,-1.25
Acquisitions,0.69,0,8.54,0.1,-73.99,0,0,-18.62,0
Change in Investments,-950.77,-236.17,-323.35,-186.79,-140.22,-236.44,-254.6,-62.26,-82.39
Other Investing Activities,0.33,1.58,1.7,-37.71,3.85,2.19,2.35,2.8,-32.41
Investing Cash Flow,-952.02,-241.05,-318.85,-228.83,-215.9,-237.44,-254.39,-79.56,-116.05
Dividends Paid,-12.19,-9.2,-3.26,0,0,0,0,0,0
Share Issuance / Repurchase,-54.16,-68.57,-15.92,303.34,-1.27,-0.28,140.53,0,0
Debt Issued / Paid,344.96,-93.39,-205.04,-165.8,-13.46,15.25,25.52,-153.66,-10
Other Financing Activities,507.8,176.76,564.27,233.52,194.2,209.17,102.22,191.54,85.03
Financing Cash Flow,786.42,5.61,340.06,371.06,179.47,224.14,268.27,37.88,75.03
Net Cash Flow,-96.7,-11.15,-5.75,106.1,24.73,30.58,9.56,-12.33,-22.36
Free Cash Flow,66.63,217.84,-32.69,-40.56,55.62,40.69,-6.45,27.87,17.41
Free Cash Flow Growth,-69.41%,-,-,-,36.70%,-,-,60.06%,-
Free Cash Flow Margin,33.21%,91.03%,-14.60%,-24.67%,41.41%,32.17%,-5.21%,32.28%,29.91%
Free Cash Flow Per Share,1.43,4.29,-0.60,-0.73,0.98,0.73,-0.11,0.48,-
