Year,2022,2021,2020,2019,2018,2017,2016
Net Income,49.34,44.52,27.19,31.4,26.92,16.89,13.22
Depreciation & Amortization,3.06,2.37,1.21,1.01,0.76,0.69,0.59
Share-Based Compensation,3.34,2.43,1.67,0.75,0.8,0.37,0.22
Other Operating Activities,25.21,3.75,-7.05,6.36,0.93,6.95,0.91
Operating Cash Flow,85,54.24,23.02,39.53,29.41,24.9,14.93
Operating Cash Flow Growth,56.72%,135.61%,-41.76%,34.41%,18.09%,66.78%,-
Capital Expenditures,-1.63,-0.78,-24.69,-15.57,-3.72,-1.24,-2.19
Acquisitions,0,0,0,0,0,0,24.42
Change in Investments,-929.2,-545.65,-505.78,-261.97,-350.87,-353.59,-288.44
Other Investing Activities,-7.41,-25,0.13,1.33,0.36,4.65,0.12
Investing Cash Flow,-938.24,-571.43,-530.33,-276.21,-354.24,-350.18,-266.1
Share Issuance / Repurchase,-10.94,-2.02,-10.06,-14.7,58.96,0.18,25.95
Debt Issued / Paid,341.5,-7.94,-32.22,-7.5,49,16.48,32.46
Other Financing Activities,466.25,509.94,678.33,262.38,221.58,315.84,195.68
Financing Cash Flow,796.81,499.99,636.05,240.18,329.55,332.51,254.09
Net Cash Flow,-56.43,-17.2,128.74,3.49,4.72,7.23,2.93
Free Cash Flow,83.37,53.46,-1.67,23.96,25.69,23.67,12.74
Free Cash Flow Growth,55.94%,-,-,-6.74%,8.54%,85.77%,-
Free Cash Flow Margin,64.96%,48.75%,-2.06%,31.83%,40.32%,45.05%,30.75%
Free Cash Flow Per Share,3.02,1.91,-0.06,0.83,0.85,0.81,-
